figure,panel,t2_s,t1_s,fit_curve_rank_top_to_bottom,fit_curve_color,delta_h_kj_mol,source_pixel_x,source_pixel_y,source_point_id,source_marker_color,visible_markers_at_t2,assignment_method,note
Fig2,a,0.1,0.1,1,blue,0.1764,220.0,99.0,6,"rgb(100,65,166)",6,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,0.1,0.2,2,orange,0.19101,215.0,112.0,2,green,6,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,0.1,0.5,3,light_green,0.19101,215.0,112.0,2,green,6,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,0.1,1.0,4,lavender,0.21311,216.33,131.67,4,orange/yellow,6,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,0.1,2.0,5,peach_orange,0.21311,216.33,131.67,4,orange/yellow,6,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,0.1,5.0,6,yellow,0.24382,217.0,159.0,5,orange/yellow,6,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,0.1,10.0,7,yellow_green,0.24382,217.0,159.0,5,orange/yellow,6,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,0.1,20.0,8,magenta,0.27022,216.0,182.5,3,green,6,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,0.1,50.0,9,blue_star,0.27022,216.0,182.5,3,green,6,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,0.1,100.0,10,red,0.32697,213.0,233.0,1,magenta,6,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,0.2,0.1,1,blue,0.2236,251.0,141.0,7,blue/purple,5,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,0.2,0.2,2,orange,0.2236,251.0,141.0,7,blue/purple,5,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,0.2,0.5,3,light_green,0.24494,253.0,160.0,9,orange/yellow,5,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,0.2,1.0,4,lavender,0.24494,253.0,160.0,9,orange/yellow,5,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,0.2,2.0,5,peach_orange,0.25506,252.0,169.0,8,orange/yellow,5,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,0.2,5.0,6,yellow,0.25506,252.0,169.0,8,orange/yellow,5,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,0.2,10.0,7,yellow_green,0.27191,254.0,184.0,11,green,5,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,0.2,20.0,8,magenta,0.27191,254.0,184.0,11,green,5,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,0.2,50.0,9,blue_star,0.30899,253.0,217.0,10,magenta,5,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,0.2,100.0,10,red,0.30899,253.0,217.0,10,magenta,5,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,0.5,0.1,1,blue,0.25056,286.0,165.0,12,"rgb(171,168,168)",4,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,0.5,0.2,2,orange,0.25056,286.0,165.0,12,"rgb(171,168,168)",4,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,0.5,0.5,3,light_green,0.26966,302.0,182.0,15,"rgb(128,124,188)",4,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,0.5,1.0,4,lavender,0.26966,302.0,182.0,15,"rgb(128,124,188)",4,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,0.5,2.0,5,peach_orange,0.26966,302.0,182.0,15,"rgb(128,124,188)",4,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,0.5,5.0,6,yellow,0.29326,300.5,203.0,13,green,4,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,0.5,10.0,7,yellow_green,0.29326,300.5,203.0,13,green,4,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,0.5,20.0,8,magenta,0.29326,300.5,203.0,13,green,4,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,0.5,50.0,9,blue_star,0.31798,301.0,225.0,14,magenta,4,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,0.5,100.0,10,red,0.31798,301.0,225.0,14,magenta,4,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,1,0.1,1,blue,0.33596,336.0,241.0,17,orange/yellow,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,1,0.2,2,orange,0.33596,336.0,241.0,17,orange/yellow,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,1,0.5,3,light_green,0.33596,336.0,241.0,17,orange/yellow,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,1,1.0,4,lavender,0.33596,336.0,241.0,17,orange/yellow,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,1,2.0,5,peach_orange,0.33596,336.0,241.0,17,orange/yellow,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,1,5.0,6,yellow,0.36067,334.0,263.0,16,magenta,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,1,10.0,7,yellow_green,0.36067,334.0,263.0,16,magenta,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,1,20.0,8,magenta,0.36067,334.0,263.0,16,magenta,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,1,50.0,9,blue_star,0.36067,334.0,263.0,16,magenta,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,1,100.0,10,red,0.36067,334.0,263.0,16,magenta,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,2,0.1,1,blue,0.38315,373.5,283.0,19,orange/yellow,3,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,2,0.2,2,orange,0.38315,373.5,283.0,19,orange/yellow,3,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,2,0.5,3,light_green,0.38315,373.5,283.0,19,orange/yellow,3,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,2,1.0,4,lavender,0.40337,375.0,301.0,20,blue/purple,3,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,2,2.0,5,peach_orange,0.40337,375.0,301.0,20,blue/purple,3,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,2,5.0,6,yellow,0.40337,375.0,301.0,20,blue/purple,3,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,2,10.0,7,yellow_green,0.40337,375.0,301.0,20,blue/purple,3,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,2,20.0,8,magenta,0.42697,373.0,322.0,18,red/orange,3,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,2,50.0,9,blue_star,0.42697,373.0,322.0,18,red/orange,3,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,2,100.0,10,red,0.42697,373.0,322.0,18,red/orange,3,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,5,0.1,1,blue,0.45056,418.0,343.0,21,"rgb(200,170,149)",2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,5,0.2,2,orange,0.45056,418.0,343.0,21,"rgb(200,170,149)",2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,5,0.5,3,light_green,0.45056,418.0,343.0,21,"rgb(200,170,149)",2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,5,1.0,4,lavender,0.45056,418.0,343.0,21,"rgb(200,170,149)",2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,5,2.0,5,peach_orange,0.45056,418.0,343.0,21,"rgb(200,170,149)",2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,5,5.0,6,yellow,0.46966,424.0,360.0,22,red/orange,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,5,10.0,7,yellow_green,0.46966,424.0,360.0,22,red/orange,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,5,20.0,8,magenta,0.46966,424.0,360.0,22,red/orange,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,5,50.0,9,blue_star,0.46966,424.0,360.0,22,red/orange,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,5,100.0,10,red,0.46966,424.0,360.0,22,red/orange,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,10,0.1,1,blue,0.51348,455.0,399.0,23,"rgb(171,75,103)",2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,10,0.2,2,orange,0.51348,455.0,399.0,23,"rgb(171,75,103)",2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,10,0.5,3,light_green,0.51348,455.0,399.0,23,"rgb(171,75,103)",2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,10,1.0,4,lavender,0.51348,455.0,399.0,23,"rgb(171,75,103)",2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,10,2.0,5,peach_orange,0.51348,455.0,399.0,23,"rgb(171,75,103)",2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,10,5.0,6,yellow,0.53371,477.0,417.0,24,blue/purple,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,10,10.0,7,yellow_green,0.53371,477.0,417.0,24,blue/purple,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,10,20.0,8,magenta,0.53371,477.0,417.0,24,blue/purple,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,10,50.0,9,blue_star,0.53371,477.0,417.0,24,blue/purple,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,10,100.0,10,red,0.53371,477.0,417.0,24,blue/purple,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,20,0.1,1,blue,0.54494,497.0,427.0,26,red/orange,3,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,20,0.2,2,orange,0.54494,497.0,427.0,26,red/orange,3,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,20,0.5,3,light_green,0.54494,497.0,427.0,26,red/orange,3,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,20,1.0,4,lavender,0.55281,489.0,434.0,25,"rgb(156,101,149)",3,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,20,2.0,5,peach_orange,0.55281,489.0,434.0,25,"rgb(156,101,149)",3,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,20,5.0,6,yellow,0.55281,489.0,434.0,25,"rgb(156,101,149)",3,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,20,10.0,7,yellow_green,0.55281,489.0,434.0,25,"rgb(156,101,149)",3,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,20,20.0,8,magenta,0.5764,510.0,455.0,27,"rgb(157,101,147)",3,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,20,50.0,9,blue_star,0.5764,510.0,455.0,27,"rgb(157,101,147)",3,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,20,100.0,10,red,0.5764,510.0,455.0,27,"rgb(157,101,147)",3,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,50,0.1,1,blue,0.59888,542.0,475.0,28,orange/yellow,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,50,0.2,2,orange,0.59888,542.0,475.0,28,orange/yellow,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,50,0.5,3,light_green,0.59888,542.0,475.0,28,orange/yellow,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,50,1.0,4,lavender,0.59888,542.0,475.0,28,orange/yellow,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,50,2.0,5,peach_orange,0.59888,542.0,475.0,28,orange/yellow,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,50,5.0,6,yellow,0.61236,545.0,487.0,29,red/orange,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,50,10.0,7,yellow_green,0.61236,545.0,487.0,29,red/orange,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
