figure,series,annealing_time_s,s_star_j_mol_k,source
S7,348 K,0.1,0,manual_digitization_from_cropped_image
S7,348 K,0.2,0,manual_digitization_from_cropped_image
S7,348 K,0.5,0,manual_digitization_from_cropped_image
S7,348 K,1,0,manual_digitization_from_cropped_image
S7,348 K,2,0,manual_digitization_from_cropped_image
S7,348 K,5,0,manual_digitization_from_cropped_image
S7,348 K,10,17,manual_digitization_from_cropped_image
S7,348 K,20,9,manual_digitization_from_cropped_image
S7,348 K,50,9,manual_digitization_from_cropped_image
S7,348 K,100,15,manual_digitization_from_cropped_image
S7,348 K,200,31,manual_digitization_from_cropped_image
S7,348 K,500,86,manual_digitization_from_cropped_image
S7,348 K,1000,108,manual_digitization_from_cropped_image
S7,348 K,2000,115,manual_digitization_from_cropped_image
S7,348 K,5000,115,manual_digitization_from_cropped_image
S7,363 K,0.1,0,manual_digitization_from_cropped_image
S7,363 K,0.2,0,manual_digitization_from_cropped_image
S7,363 K,0.5,0,manual_digitization_from_cropped_image
S7,363 K,1,1,manual_digitization_from_cropped_image
S7,363 K,2,4,manual_digitization_from_cropped_image
S7,363 K,5,14,manual_digitization_from_cropped_image
S7,363 K,10,16,manual_digitization_from_cropped_image
S7,363 K,20,38,manual_digitization_from_cropped_image
S7,363 K,50,95,manual_digitization_from_cropped_image
S7,363 K,100,122,manual_digitization_from_cropped_image
S7,363 K,200,132,manual_digitization_from_cropped_image
S7,363 K,500,135,manual_digitization_from_cropped_image
S7,363 K,1000,132,manual_digitization_from_cropped_image
S7,363 K,2000,132,manual_digitization_from_cropped_image
S7,363 K,5000,131,manual_digitization_from_cropped_image
S7,373 K,0.1,2,manual_digitization_from_cropped_image
S7,373 K,0.2,2,manual_digitization_from_cropped_image
S7,373 K,0.5,3,manual_digitization_from_cropped_image
S7,373 K,1,5,manual_digitization_from_cropped_image
S7,373 K,2,8,manual_digitization_from_cropped_image
S7,373 K,5,25,manual_digitization_from_cropped_image
S7,373 K,10,82,manual_digitization_from_cropped_image
S7,373 K,20,127,manual_digitization_from_cropped_image
S7,373 K,50,144,manual_digitization_from_cropped_image
S7,373 K,100,144,manual_digitization_from_cropped_image
S7,373 K,200,146,manual_digitization_from_cropped_image
S7,373 K,500,140,manual_digitization_from_cropped_image
S7,373 K,1000,139,manual_digitization_from_cropped_image
S7,373 K,2000,143,manual_digitization_from_cropped_image
S7,383 K,0.1,12,manual_digitization_from_cropped_image
S7,383 K,0.2,13,manual_digitization_from_cropped_image
S7,383 K,0.5,14,manual_digitization_from_cropped_image
S7,383 K,1,20,manual_digitization_from_cropped_image
S7,383 K,2,45,manual_digitization_from_cropped_image
S7,383 K,5,132,manual_digitization_from_cropped_image
S7,383 K,10,158,manual_digitization_from_cropped_image
S7,383 K,20,163,manual_digitization_from_cropped_image
S7,383 K,50,157,manual_digitization_from_cropped_image
S7,383 K,100,157,manual_digitization_from_cropped_image
S7,383 K,200,154,manual_digitization_from_cropped_image
S7,383 K,500,153,manual_digitization_from_cropped_image
S7,383 K,1000,157,manual_digitization_from_cropped_image
S7,383 K,2000,158,manual_digitization_from_cropped_image
