figure,series,delta_h_kj_mol,delta_h_peak_kj_mol,source
S6,348 K,0.45,0.136,digitized_from_supplementary_figure
S6,348 K,0.54,0.165,digitized_from_supplementary_figure
S6,348 K,0.59,0.175,digitized_from_supplementary_figure
S6,363 K,0.48,0.1,digitized_from_supplementary_figure
S6,363 K,0.55,0.123,digitized_from_supplementary_figure
S6,363 K,0.62,0.133,digitized_from_supplementary_figure
S6,363 K,0.68,0.143,digitized_from_supplementary_figure
S6,373 K,0.44,0.057,digitized_from_supplementary_figure
S6,373 K,0.52,0.087,digitized_from_supplementary_figure
S6,373 K,0.59,0.1,digitized_from_supplementary_figure
S6,373 K,0.65,0.108,digitized_from_supplementary_figure
S6,373 K,0.72,0.118,digitized_from_supplementary_figure
