panel,t1_temperature_k,t1_s,t2_temperature_k,t2_s,delta_t_k,log_t1,log_t2,inv_t1_k,inv_t2_k,s1_j_mol_k,s2_j_mol_k,delta_s_j_mol_k,h1_kj_mol_arrt,h2_kj_mol_arrt,h1_kj_mol_fig3,h2_kj_mol_fig3,tp1_1000kps_k_fig3,tp2_1000kps_k_fig3,tnm_dose1,tnm_dose2,delta_h_kj_mol,delta_h_peak_kj_mol,memory_effect_label,source_assignment_method
a,348.0,0.1,383.0,0.1,35.0,-1.0,-1.0,0.0028735632183908046,0.0026109660574412533,0.0,12.0,12.0,79.0184837178827,91.86691780928244,92.0,92.0,377.0,377.0,0.012816927230680841,0.11275684293123789,0.1764,0.136,0,shared_overlap_visible_markers
a,348.0,0.2,383.0,0.1,35.0,-0.6989700043360187,-1.0,0.0028735632183908046,0.0026109660574412533,0.0,12.0,12.0,81.02405863781482,91.86691780928244,92.0,92.0,380.0,377.0,0.017228862999065786,0.11275684293123789,0.19101,0.136,0,shared_overlap_visible_markers
a,348.0,0.5,383.0,0.1,35.0,-0.3010299956639812,-1.0,0.0028735632183908046,0.0026109660574412533,0.0,12.0,12.0,83.67528447087454,91.86691780928244,94.0,92.0,384.0,377.0,0.02544221829625759,0.11275684293123789,0.19101,0.136,0,shared_overlap_visible_markers
a,348.0,1.0,383.0,0.1,35.0,0.0,-1.0,0.0028735632183908046,0.0026109660574412533,0.0,12.0,12.0,85.68085939080665,91.86691780928244,98.0,92.0,389.0,377.0,0.034124357132955585,0.11275684293123789,0.21311,0.136,0,shared_overlap_visible_markers
a,348.0,2.0,383.0,0.1,35.0,0.3010299956639812,-1.0,0.0028735632183908046,0.0026109660574412533,0.0,12.0,12.0,87.68643431073873,91.86691780928244,112.0,92.0,397.0,377.0,0.045699055588746096,0.11275684293123789,0.21311,0.136,0,shared_overlap_visible_markers
a,348.0,5.0,383.0,0.1,35.0,0.6989700043360189,-1.0,0.0028735632183908046,0.0026109660574412533,0.0,12.0,12.0,90.33766014379846,91.86691780928244,148.0,92.0,408.0,377.0,0.06701373851330805,0.11275684293123789,0.24382,0.136,0,shared_overlap_visible_markers
a,348.0,10.0,383.0,0.1,35.0,1.0,-1.0,0.0028735632183908046,0.0026109660574412533,17.0,12.0,-5.0,98.25923506373057,91.86691780928244,155.0,92.0,414.0,377.0,0.08921698381787635,0.11275684293123789,0.24382,0.136,0,shared_overlap_visible_markers
a,348.0,20.0,383.0,0.1,35.0,1.3010299956639813,-1.0,0.0028735632183908046,0.0026109660574412533,9.0,12.0,3.0,97.48080998366268,91.86691780928244,156.0,92.0,419.0,377.0,0.11829678935296961,0.11275684293123789,0.27022,0.136,0,shared_overlap_visible_markers
a,348.0,50.0,383.0,0.1,35.0,1.6989700043360187,-1.0,0.0028735632183908046,0.0026109660574412533,9.0,12.0,3.0,100.1320358167224,91.86691780928244,157.0,92.0,424.0,377.0,0.17030555319628382,0.11275684293123789,0.27022,0.136,0,shared_overlap_visible_markers
a,348.0,100.0,383.0,0.1,35.0,2.0,-1.0,0.0028735632183908046,0.0026109660574412533,15.0,12.0,-3.0,104.22561073665449,91.86691780928244,156.0,92.0,427.0,377.0,0.22238638820612078,0.11275684293123789,0.32697,0.136,0,shared_overlap_visible_markers
