batch,id,mode,T1_C,t1_s,T2_C,t2_s,total_anneal_time_s,priority,purpose
S1,S1-01,single_step,90,1800,,,1800,anchor,"high-temperature long-time single-step anchor"
S1,S1-02,single_step,95,10,,,10,high,"high-temperature short-time boundary anchor"
S1,S1-03,single_step,100,60,,,60,high,"single-step baseline for T2=100 C two-step interpretation"
S1,S1-04,single_step,80,1800,,,1800,anchor,"middle-high-temperature long-time anchor"
S1,S1-05,two_step,75,600,100,100,700,high,"EIG high-score middle-temperature pre-anneal plus short high-temperature second step"
S1,S1-06,two_step,85,100,100,100,200,high,"near-high-temperature path contrast"
S1,S1-07,two_step,70,10,100,60,70,high,"very short first step plus short high-temperature second step"
S1,S1-08,two_step,80,300,100,100,400,high,"medium first-step dose plus short high-temperature second step"
S1,S1-09,two_step,80,100,100,60,160,high,"time-ratio contrast against S1-08"
S1,S1-10,two_step,75,100,100,30,130,high,"minimum effective 100 C second-step dose probe"
S1,S1-11,two_step,95,600,100,10,610,medium,"near-isothermal high-temperature boundary constraint"
S1,S1-12,two_step,65,900,100,60,960,medium,"low-temperature long first step plus short high-temperature second step"
S2,S2-01,two_step,70,600,95,300,900,optional,"T2=95 C contrast against 100 C boundary"
S2,S2-02,two_step,70,100,95,300,400,optional,"first-step dose contrast for T2=95 C"
S2,S2-03,two_step,90,600,95,100,700,optional,"small delta-T high-temperature path effect"
S2,S2-04,two_step,65,1200,95,1200,2400,optional,"long-time path dependence contrast"
S2,S2-05,two_step,60,300,90,1800,2100,optional,"non-100 C long second-step interval support"
S2,S2-06,single_step,95,300,,,300,optional,"95 C single-step anchor for S2 interpretation"
