sample_id,source_file,cycle_id,mode,T1_C,t1_s,T2_C,t2_s,total_anneal_time_s,heating_rate_C_min,cooling_rate_C_min,noise_sigma_uW,process_total_integral_uW_min,process_total_abs_integral_uW_min,process_total_mean_uW,process_total_std_uW,process_hold_integral_uW_min,process_hold_abs_integral_uW_min,process_cooling_integral_uW_min,process_cooling_abs_integral_uW_min,process_between_step_heating_integral_uW_min,process_step1_hold_mean_uW,process_step1_hold_slope_uW_min,process_step1_hold_delta_uW,process_step2_hold_mean_uW,process_step2_hold_slope_uW_min,process_step2_hold_delta_uW,process_final_cooling_mean_uW,process_final_cooling_slope_uW_min,process_pre_scan_start_dsc_uW,process_pre_scan_end_dsc_uW,process_pre_scan_dsc_shift_uW,feature_integration_low_C,feature_integration_high_C,feature_peak_low_C,feature_peak_high_C,delta_h_total_rel,delta_h_total_J_g,peak_area_rel,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,onset_temperature_C,kovacs_peak_label,delta_h_total_40_160_rel,delta_h_total_40_160_J_g,peak_area_40_160_rel,peak_area_40_160_J_g,peak_temperature_Tp_40_160_C,peak_height_40_160_uW,onset_temperature_40_160_C,legacy_feature_integration_low_C,legacy_feature_integration_high_C,legacy_feature_peak_low_C,legacy_feature_peak_high_C,recovery_index,path_dependence_index
onestep_50_001,PS-onestep-01.xlsx,1,single_step,50.0,0.1002,nan,nan,0.1002,10.0,60.0,27.467694910576387,18712.413255341846,18712.413255341846,3198.7333249638223,3053.351372234768,2542.879058996836,2542.879058996836,18648.22542317708,18648.22542317708,0,3860.5417804718,0.0,0.0,856.9675948884753,-1162.4059322774806,-3330.080718994144,1129.4740649604798,-1290.2602120185106,4.82030296325684,16.3831806182861,11.562877655029261,70.0,105.0,70.0,105.0,-4424.41254535125,-5.648186228107978,-3118.922174116985,-3.9816027754684904,104.995712280273,-137.85214959847326,70.0083923339844,0,-15826.256586566837,-20.203731812638512,-6521.870527571127,-8.325792162856757,106.074775695801,-142.62880393553746,70.0083923339844,40.0,160.0,70.0,140.0,1.0,0.0
onestep_50_002,PS-onestep-01.xlsx,2,single_step,50.0,0.4998,nan,nan,0.4998,10.0,60.0,27.467694910576387,18689.699332714077,18689.699332714077,3204.0053454807826,2982.523596524459,2724.809070523585,2724.809070523585,18625.44999745687,18625.44999745687,0,917.3527988857696,-1206.4069398805648,-3235.9676475524934,0.0,0.0,0.0,1180.6684035873416,-1307.7830668101,22.8461666107178,16.9757442474365,-5.8704223632813,70.0,105.0,70.0,105.0,-4333.891022462411,-5.532626837186056,-3056.43346599754,-3.901829956592605,104.997756958008,-135.17974192801557,70.0149688720703,0,-15504.058438782424,-19.79241502823288,-6374.797776824781,-8.138039715095465,106.212524414063,-139.77139050773735,70.0149688720703,40.0,160.0,70.0,140.0,0.9795404424969479,0.0
onestep_50_003,PS-onestep-01.xlsx,3,single_step,50.0,0.7979999999999999,nan,nan,0.7979999999999999,10.0,60.0,27.467694910576387,18711.387000401814,18711.387000401814,3207.72997378758,2972.3479367894174,2767.2252522468625,2767.2252522468625,18647.066233666712,18647.066233666712,0,931.4933033837216,-1214.9561533155384,-3231.195999145511,0.0,0.0,0.0,1194.4556401062016,-1313.5150431242228,24.86012840271,19.6814746856689,-5.178653717041101,70.0,105.0,70.0,105.0,-4241.269460027398,-5.4143865447158275,-2983.2360501448375,-3.808386446993409,104.998481750488,-131.80359476521585,70.0039138793945,0,-15171.027365179967,-19.36726897682549,-6219.29046500165,-7.939519742555297,106.094985961914,-136.39214035182204,70.0039138793945,40.0,160.0,70.0,140.0,0.958606236772319,0.0
onestep_50_004,PS-onestep-01.xlsx,4,single_step,50.0,1.0002,nan,nan,1.0002,10.0,60.0,27.467694910576387,18720.988216444646,18720.988216444646,3191.2076333761215,2991.2013903922584,2669.1777480888245,2669.1777480888245,18656.963820152283,18656.963820152283,0,3857.74807929993,0.0,0.0,893.9136216495579,-1177.4996543361099,-3209.8724212646516,1157.320976684343,-1286.4994424699178,28.5646190643311,22.5055408477783,-6.059078216552802,70.0,105.0,70.0,105.0,-4129.627058295269,-5.271864329738642,-2903.907600145103,-3.7071160852916205,104.994026184082,-128.62473277191884,70.0050964355469,0,-14747.290024862756,-18.82632769131415,-6046.33325411081,-7.718723303120182,106.072937011719,-132.9108013581681,70.0050964355469,40.0,160.0,70.0,140.0,0.9333729655554583,0.0
onestep_50_005,PS-onestep-01.xlsx,5,single_step,50.0,4.998,nan,nan,4.998,10.0,60.0,27.467694910576387,18722.047691926957,18722.047691926957,3155.541468170252,2996.319241756717,2692.0807183361103,2692.0807183361103,18659.28272556623,18659.28272556623,0,3804.543977737428,-1219.5864257802857,-77.37963867188,817.6165059231924,-1102.556427196784,-3239.3414573669415,1078.507797136829,-1227.595339764618,31.2706546783447,24.4732723236084,-6.797382354736303,70.0,105.0,70.0,105.0,-3988.876977475713,-5.09218337550091,-2809.83322973738,-3.5870211443455906,104.985168457031,-125.31554457096809,70.0049057006836,0,-14309.873799488609,-18.267923999347158,-5885.044495692095,-7.5128227604579925,106.031158447266,-129.5931655651318,70.0049057006836,40.0,160.0,70.0,140.0,0.9015608143654786,0.0
onestep_50_006,PS-onestep-01.xlsx,6,single_step,50.0,10.020000000000001,nan,nan,10.020000000000001,10.0,60.0,27.467694910576387,18726.68725265185,18726.68725265185,3095.60038023284,3001.040353638543,2729.228950757866,2729.228950757866,18666.51889680539,18666.51889680539,0,3742.595027542115,-1095.1360973014964,-204.9853515625,719.5589652035405,-989.4669088987532,-3045.1499061584504,976.8829593282618,-1137.8065676765664,34.2218341827393,26.4555950164795,-7.766239166259801,70.0,105.0,70.0,105.0,-3928.410079386515,-5.014991590706189,-2771.9691918923368,-3.5386840747561745,104.999114990234,-123.43510175883443,70.0046615600586,0,-14046.53540758715,-17.931747328834657,-5787.886499237373,-7.388791275622178,106.096099853516,-127.29593475649472,70.0046615600586,40.0,160.0,70.0,140.0,0.8878941642804339,0.0
onestep_50_007,PS-onestep-01.xlsx,7,single_step,50.0,49.98,nan,nan,49.98,10.0,60.0,27.467694910576387,18757.893182420725,18757.893182420725,2792.973359673549,2953.2154591044164,3708.846551338792,3708.846551338792,18746.389163732536,18746.389163732536,0,2769.243561477662,-3852.1922467620107,-3138.139282226566,475.07559726277304,-621.9072564293017,-981.4649848937946,487.20961134774325,-473.82820081707905,36.6738758087158,23.8606090545654,-12.813266754150398,70.0,105.0,70.0,105.0,-3858.420552360224,-4.9256432583322,-2715.6519221488784,-3.4667896878496314,104.984260559082,-121.71254472201485,70.0056991577148,0,-13841.283454970935,-17.669723559537363,-5691.048548470358,-7.265168359749392,105.979133605957,-125.61245600986354,70.0056991577148,40.0,160.0,70.0,140.0,0.8720752219216726,0.0
onestep_50_008,PS-onestep-01.xlsx,8,single_step,50.0,100.02,nan,nan,100.02,10.0,60.0,27.467694910576387,18793.204813880915,18793.204813880915,2478.5140416616923,2912.8813189372045,3841.986174411757,3841.986174411757,18792.19397387822,18792.19397387822,0,1478.4007559204101,-2875.3046231493195,-3793.988235473636,460.6122212899698,-606.2899264839673,-903.1852836608884,447.04798616548857,-421.2139262812465,37.5907917022705,22.5704860687256,-15.0203056335449,70.0,105.0,70.0,105.0,-3800.5135689092212,-4.8517194496713465,-2672.331336674418,-3.411486812775852,104.991310119629,-119.42971691768548,70.0067596435547,0,-13625.768511101476,-17.39459809927848,-5591.98169936918,-7.1387000417478905,106.020072937012,-123.10085712175828,70.0067596435547,40.0,160.0,70.0,140.0,0.858987160431601,0.0
onestep_50_009,PS-onestep-01.xlsx,9,single_step,50.0,499.98,nan,nan,499.98,10.0,60.0,27.467694910576387,19041.039676780696,19041.039676780696,1337.9137665929504,2451.784982843929,4084.034795080811,4084.034795080811,19040.43689252853,19040.43689252853,0,325.4915556182862,-189.23947973511804,-3863.181221008299,461.1220618952874,-621.1181841887852,-946.3451499938965,447.6791424470788,-431.3886765893257,38.2909259796143,23.6451778411865,-14.645748138427802,70.0,105.0,70.0,105.0,-3748.871366194203,-4.785793233439408,-2638.783736531449,-3.368660089189084,104.985679626465,-117.53741291258098,70.0024185180664,0,-13364.578010902158,-17.061163418172967,-5510.578222594716,-7.034780709695381,106.014137268066,-121.00782160022982,70.0024185180664,40.0,160.0,70.0,140.0,0.8473150565792423,0.0
onestep_50_010,PS-onestep-01.xlsx,10,single_step,50.0,1000.0200000000001,nan,nan,1000.0200000000001,10.0,60.0,27.467694910576387,19366.712824074424,19366.712824074424,857.0615260003239,2044.6853261959177,4406.421939388931,4406.421939388931,19366.044463713966,19366.044463713966,0,181.52520896911628,-49.29873891323512,-3810.150787353519,459.39280630952567,-613.6659782774132,-950.5090141296389,446.5262942267853,-428.2153260131733,39.1076755523682,25.9727077484131,-13.1349678039551,70.0,105.0,70.0,105.0,-3734.199103273919,-4.767062685030535,-2626.329724980668,-3.3527613510391503,104.991279602051,-117.47280558478997,70.0068511962891,0,-13209.824122952385,-16.86360526334347,-5476.817279448381,-6.9916816333383585,106.020072937012,-120.79299579363828,70.0068511962891,40.0,160.0,70.0,140.0,0.8439988506943049,0.0
