figure,panel,point_id,pixel_x,pixel_y,t2_s,delta_h_kj_mol,marker_color,mean_rgb,detection_score,source
Fig2,a,1,215.0,159.0,0.09456,0.24382,orange_yellow,"(240, 227, 68)",223.0,semi_automatic_digitization_from_cropped_image
Fig2,a,2,216.0,235.0,0.09634,0.32921,magenta,"(239, 97, 233)",264.0,semi_automatic_digitization_from_cropped_image
Fig2,a,3,217.0,106.0,0.09815,0.18427,rgb_149_127_131,"(149, 127, 131)",284.0,semi_automatic_digitization_from_cropped_image
Fig2,a,4,218.0,182.5,0.1,0.27022,rgb_189_211_117,"(189, 211, 117)",217.0,semi_automatic_digitization_from_cropped_image
Fig2,a,5,250.45,450.93,0.18314,0.57183,red,"(255, 84, 43)",69.0,semi_automatic_digitization_from_cropped_image
Fig2,a,6,252.0,145.0,0.1885,0.22809,rgb_158_154_233,"(158, 154, 233)",284.0,semi_automatic_digitization_from_cropped_image
Fig2,a,7,253.0,217.0,0.19204,0.30899,magenta,"(249, 81, 249)",267.0,semi_automatic_digitization_from_cropped_image
Fig2,a,8,255.0,183.0,0.19934,0.27079,rgb_188_210_118,"(188, 210, 118)",253.0,semi_automatic_digitization_from_cropped_image
Fig2,a,9,278.0,436.5,0.30608,0.55562,red,"(255, 79, 36)",71.0,semi_automatic_digitization_from_cropped_image
Fig2,a,10,301.5,223.0,0.47437,0.31573,magenta,"(249, 81, 249)",280.0,semi_automatic_digitization_from_cropped_image
Fig2,a,11,301.78,199.11,0.47683,0.28889,rgb_206_208_107,"(206, 208, 107)",284.0,semi_automatic_digitization_from_cropped_image
Fig2,a,12,337.5,242.0,0.92814,0.33708,orange_yellow,"(220, 217, 88)",286.0,semi_automatic_digitization_from_cropped_image
Fig2,a,13,373.0,299.0,1.79912,0.40112,magenta,"(198, 97, 234)",286.0,semi_automatic_digitization_from_cropped_image
Fig2,a,14,373.8,320.8,1.82616,0.42562,red,"(255, 50, 0)",273.0,semi_automatic_digitization_from_cropped_image
Fig2,a,15,376.5,388.5,1.92044,0.50169,red,"(255, 84, 42)",63.0,semi_automatic_digitization_from_cropped_image
Fig2,a,16,401.0,319.0,3.03236,0.4236,rgb_214_210_113,"(214, 210, 113)",190.0,semi_automatic_digitization_from_cropped_image
Fig2,a,17,408.0,388.5,3.45511,0.50169,red,"(255, 84, 42)",62.0,semi_automatic_digitization_from_cropped_image
Fig2,a,18,421.0,358.0,4.40276,0.46742,red,"(250, 58, 57)",284.0,semi_automatic_digitization_from_cropped_image
Fig2,a,19,456.0,399.0,8.45523,0.51348,rgb_170_77_113,"(170, 77, 113)",284.0,semi_automatic_digitization_from_cropped_image
Fig2,a,20,492.0,429.5,16.54335,0.54775,rgb_206_102_118,"(206, 102, 118)",281.0,semi_automatic_digitization_from_cropped_image
Fig2,a,21,541.0,481.0,41.24626,0.60562,red,"(214, 80, 71)",288.0,semi_automatic_digitization_from_cropped_image
Fig2,a,22,576.0,511.0,79.21099,0.63933,red,"(233, 68, 35)",284.0,semi_automatic_digitization_from_cropped_image
Fig2,a,23,615.0,530.0,163.89847,0.66067,red,"(244, 59, 19)",287.0,semi_automatic_digitization_from_cropped_image
Fig2,a,24,662.0,550.0,393.6785,0.68315,red,"(247, 55, 11)",287.0,semi_automatic_digitization_from_cropped_image
Fig2,a,25,698.5,551.0,777.47827,0.68427,red,"(247, 55, 11)",284.0,semi_automatic_digitization_from_cropped_image
Fig2,a,26,727.0,551.0,1322.68823,0.68427,red,"(245, 71, 35)",201.0,semi_automatic_digitization_from_cropped_image
Fig2,b,1,221.0,241.0,0.09815,0.33596,orange_yellow,"(240, 227, 68)",228.0,semi_automatic_digitization_from_cropped_image
Fig2,b,2,222.0,117.5,0.1,0.19719,blue,"(0, 0, 254)",289.0,semi_automatic_digitization_from_cropped_image
Fig2,b,3,222.0,180.0,0.1,0.26742,rgb_255_181_106,"(255, 181, 106)",249.0,semi_automatic_digitization_from_cropped_image
