figure,series,delta_h_kj_mol,delta_h_peak_kj_mol,source
Fig2d/S6,348 K,0.45,0.136,manual_digitization_from_cropped_image
Fig2d/S6,348 K,0.54,0.165,manual_digitization_from_cropped_image
Fig2d/S6,348 K,0.59,0.175,manual_digitization_from_cropped_image
Fig2d/S6,363 K,0.48,0.1,manual_digitization_from_cropped_image
Fig2d/S6,363 K,0.55,0.123,manual_digitization_from_cropped_image
Fig2d/S6,363 K,0.62,0.133,manual_digitization_from_cropped_image
Fig2d/S6,363 K,0.68,0.143,manual_digitization_from_cropped_image
Fig2d/S6,373 K,0.44,0.057,manual_digitization_from_cropped_image
Fig2d/S6,373 K,0.52,0.087,manual_digitization_from_cropped_image
Fig2d/S6,373 K,0.59,0.1,manual_digitization_from_cropped_image
Fig2d/S6,373 K,0.65,0.108,manual_digitization_from_cropped_image
Fig2d/S6,373 K,0.72,0.118,manual_digitization_from_cropped_image
