figure,panel,point_id,pixel_x,pixel_y,t2_s,delta_h_kj_mol,marker_color,mean_rgb,core_radius_px,overlap_note,source
Fig2,a,1,213.0,233.0,0.0911,0.32697,magenta,"(245, 90, 242)",5.83,visible_marker_core,distance_transform_marker_core_digitization
Fig2,a,2,215.0,112.0,0.09456,0.19101,green,"(183, 175, 125)",8.06,visible_marker_core,distance_transform_marker_core_digitization
Fig2,a,3,216.0,182.5,0.09634,0.27022,green,"(185, 209, 120)",6.71,visible_marker_core,distance_transform_marker_core_digitization
Fig2,a,4,216.33,131.67,0.09694,0.21311,orange/yellow,"(255, 181, 106)",8.49,visible_marker_core,distance_transform_marker_core_digitization
Fig2,a,5,217.0,159.0,0.09815,0.24382,orange/yellow,"(240, 227, 66)",7.0,visible_marker_core,distance_transform_marker_core_digitization
Fig2,a,6,220.0,99.0,0.1038,0.1764,"rgb(100,65,166)","(100, 65, 166)",5.83,visible_marker_core,distance_transform_marker_core_digitization
Fig2,a,7,251.0,141.0,0.18501,0.2236,blue/purple,"(148, 148, 250)",6.08,visible_marker_core,distance_transform_marker_core_digitization
Fig2,a,8,252.0,169.0,0.1885,0.25506,orange/yellow,"(239, 226, 67)",7.81,visible_marker_core,distance_transform_marker_core_digitization
Fig2,a,9,253.0,160.0,0.19204,0.24494,orange/yellow,"(248, 199, 90)",9.22,visible_marker_core,distance_transform_marker_core_digitization
Fig2,a,10,253.0,217.0,0.19204,0.30899,magenta,"(249, 81, 249)",9.43,visible_marker_core,distance_transform_marker_core_digitization
Fig2,a,11,254.0,184.0,0.19566,0.27191,green,"(192, 211, 113)",7.21,visible_marker_core,distance_transform_marker_core_digitization
Fig2,a,12,286.0,165.0,0.35531,0.25056,"rgb(171,168,168)","(171, 168, 168)",5.0,visible_marker_core,distance_transform_marker_core_digitization
Fig2,a,13,300.5,203.0,0.4656,0.29326,green,"(187, 209, 119)",9.9,visible_marker_core,distance_transform_marker_core_digitization
Fig2,a,14,301.0,225.0,0.46996,0.31798,magenta,"(249, 81, 249)",9.22,visible_marker_core,distance_transform_marker_core_digitization
Fig2,a,15,302.0,182.0,0.47881,0.26966,"rgb(128,124,188)","(128, 124, 188)",6.4,visible_marker_core,distance_transform_marker_core_digitization
Fig2,a,16,334.0,263.0,0.8695,0.36067,magenta,"(243, 93, 239)",5.1,visible_marker_core,distance_transform_marker_core_digitization
Fig2,a,17,336.0,241.0,0.90254,0.33596,orange/yellow,"(220, 214, 90)",8.94,visible_marker_core,distance_transform_marker_core_digitization
Fig2,a,18,373.0,322.0,1.79912,0.42697,red/orange,"(255, 50, 0)",9.0,visible_marker_core,distance_transform_marker_core_digitization
Fig2,a,19,373.5,283.0,1.81597,0.38315,orange/yellow,"(228, 211, 92)",5.39,visible_marker_core,distance_transform_marker_core_digitization
Fig2,a,20,375.0,301.0,1.86748,0.40337,blue/purple,"(172, 100, 231)",9.22,visible_marker_core,distance_transform_marker_core_digitization
Fig2,a,21,418.0,343.0,4.16326,0.45056,"rgb(200,170,149)","(200, 170, 149)",6.32,visible_marker_core,distance_transform_marker_core_digitization
Fig2,a,22,424.0,360.0,4.65603,0.46966,red/orange,"(249, 63, 61)",8.06,visible_marker_core,distance_transform_marker_core_digitization
Fig2,a,23,455.0,399.0,8.29905,0.51348,"rgb(171,75,103)","(171, 75, 103)",8.25,visible_marker_core,distance_transform_marker_core_digitization
Fig2,a,24,477.0,417.0,12.50737,0.53371,blue/purple,"(164, 127, 215)",5.0,visible_marker_core,distance_transform_marker_core_digitization
Fig2,a,25,489.0,434.0,15.64343,0.55281,"rgb(156,101,149)","(156, 101, 149)",5.83,visible_marker_core,distance_transform_marker_core_digitization
Fig2,a,26,497.0,427.0,18.15973,0.54494,red/orange,"(248, 66, 32)",7.07,visible_marker_core,distance_transform_marker_core_digitization
Fig2,a,27,510.0,455.0,23.14049,0.5764,"rgb(157,101,147)","(157, 101, 147)",5.0,visible_marker_core,distance_transform_marker_core_digitization
Fig2,a,28,542.0,475.0,42.02249,0.59888,orange/yellow,"(236, 153, 57)",7.81,visible_marker_core,distance_transform_marker_core_digitization
Fig2,a,29,545.0,487.0,44.43992,0.61236,red/orange,"(217, 71, 60)",6.08,visible_marker_core,distance_transform_marker_core_digitization
Fig2,a,30,576.5,505.0,79.95286,0.63258,orange/yellow,"(226, 151, 67)",6.08,visible_marker_core,distance_transform_marker_core_digitization
Fig2,a,31,577.0,520.0,80.70168,0.64944,red/orange,"(251, 60, 21)",7.81,converged_overlap_cluster,distance_transform_marker_core_digitization
Fig2,a,32,611.0,537.0,152.11997,0.66854,red/orange,"(248, 61, 17)",7.07,converged_overlap_cluster,distance_transform_marker_core_digitization
Fig2,a,33,614.0,526.0,160.87099,0.65618,"rgb(242,94,48)","(242, 94, 48)",6.32,converged_overlap_cluster,distance_transform_marker_core_digitization
Fig2,a,34,663.0,551.0,401.08726,0.68427,red/orange,"(248, 54, 9)",10.0,converged_overlap_cluster,distance_transform_marker_core_digitization
Fig2,a,35,698.67,550.67,779.89796,0.6839,red/orange,"(247, 55, 11)",9.85,converged_overlap_cluster,distance_transform_marker_core_digitization
Fig2,a,36,730.0,549.5,1398.77863,0.68258,red/orange,"(238, 67, 39)",6.0,converged_overlap_cluster,distance_transform_marker_core_digitization
