figure,panel,point_id,pixel_x,pixel_y,t2_s,delta_h_kj_mol,marker_color,mean_rgb,core_radius_px,overlap_note,source
Fig2,c,1,216.0,104.0,0.09634,0.19663,"rgb(255,120,0)","(255, 120, 0)",9.85,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,2,216.0,143.0,0.09634,0.24045,green,"(154, 210, 164)",6.71,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,3,216.0,179.0,0.09634,0.2809,blue/purple,"(147, 147, 255)",7.21,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,4,216.0,213.0,0.09634,0.3191,orange/yellow,"(255, 181, 106)",9.22,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,5,216.0,277.0,0.09634,0.39101,orange/yellow,"(240, 227, 67)",7.0,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,6,216.0,324.0,0.09634,0.44382,green,"(177, 207, 129)",6.71,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,7,216.0,383.0,0.09634,0.51011,magenta,"(249, 81, 249)",9.22,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,8,216.0,457.0,0.09634,0.59326,blue/purple,"(21, 121, 227)",5.39,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,9,216.0,504.0,0.09634,0.64607,red/orange,"(255, 50, 0)",9.0,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,10,252.0,121.5,0.1885,0.21629,blue/purple,"(14, 6, 240)",9.0,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,11,252.0,135.0,0.1885,0.23146,"rgb(255,120,0)","(255, 120, 0)",9.43,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,12,252.0,158.0,0.1885,0.2573,green,"(154, 210, 164)",6.71,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,13,252.0,184.0,0.1885,0.28652,blue/purple,"(147, 147, 255)",7.07,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,14,252.0,277.0,0.1885,0.39101,orange/yellow,"(240, 227, 68)",7.07,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,15,252.0,317.0,0.1885,0.43596,green,"(177, 207, 129)",7.0,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,16,252.0,379.0,0.1885,0.50562,magenta,"(249, 81, 249)",9.43,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,17,252.0,450.0,0.1885,0.58539,blue/purple,"(17, 118, 227)",5.39,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,18,252.0,499.0,0.1885,0.64045,red/orange,"(255, 50, 0)",9.22,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,19,252.5,211.5,0.19026,0.31742,orange/yellow,"(255, 181, 106)",8.49,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,20,300.0,170.5,0.46128,0.27135,"rgb(87,41,166)","(87, 41, 166)",9.0,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,21,300.0,221.0,0.46128,0.32809,orange/yellow,"(255, 181, 106)",8.49,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,22,300.0,275.0,0.46128,0.38876,orange/yellow,"(240, 227, 66)",7.07,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,23,300.0,311.0,0.46128,0.42921,green,"(177, 207, 129)",6.71,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,24,300.0,373.0,0.46128,0.49888,magenta,"(249, 81, 249)",9.43,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,25,300.0,439.0,0.46128,0.57303,blue/purple,"(21, 121, 227)",5.83,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,26,300.0,488.0,0.46128,0.62809,red/orange,"(255, 50, 0)",9.43,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,27,301.0,181.0,0.46996,0.28315,"rgb(218,146,56)","(218, 146, 56)",9.9,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,28,332.0,242.0,0.83768,0.35169,orange/yellow,"(243, 180, 119)",6.32,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,29,336.0,314.0,0.90254,0.43258,green,"(177, 207, 129)",7.0,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,30,336.5,371.5,0.91099,0.49719,magenta,"(249, 81, 249)",8.94,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,31,336.5,428.0,0.91099,0.56067,blue/purple,"(21, 121, 227)",5.39,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,32,336.5,483.0,0.91099,0.62247,red/orange,"(255, 50, 0)",8.94,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,33,337.0,276.0,0.91952,0.38989,orange/yellow,"(240, 227, 66)",7.0,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,34,338.0,225.0,0.93683,0.33258,"rgb(178,136,101)","(178, 136, 101)",9.22,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,35,370.0,255.0,1.70125,0.36629,"rgb(130,102,143)","(130, 102, 143)",5.66,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,36,370.0,283.0,1.70125,0.39775,orange/yellow,"(254, 181, 107)",7.21,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,37,373.0,311.0,1.79912,0.42921,orange/yellow,"(240, 227, 66)",7.0,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,38,373.0,331.5,1.79912,0.45225,green,"(177, 207, 129)",6.4,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,39,373.0,373.0,1.79912,0.49888,magenta,"(249, 81, 249)",9.22,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,40,373.0,424.0,1.79912,0.55618,blue/purple,"(19, 120, 227)",5.39,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,41,373.0,479.0,1.79912,0.61798,red/orange,"(255, 50, 0)",9.0,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,42,419.0,343.5,4.24161,0.46573,orange/yellow,"(240, 216, 70)",8.06,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,43,420.0,426.0,4.32143,0.55843,blue/purple,"(15, 118, 227)",5.1,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,44,421.0,370.0,4.40276,0.49551,green,"(177, 207, 129)",6.71,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,45,421.0,388.0,4.40276,0.51573,magenta,"(249, 81, 249)",9.43,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,46,421.0,467.0,4.40276,0.60449,red/orange,"(255, 50, 0)",9.0,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,47,423.6,324.2,4.62144,0.44404,"rgb(186,156,164)","(186, 156, 164)",5.0,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,48,457.0,397.5,8.61435,0.5264,green,"(202, 215, 103)",9.85,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,49,457.0,419.5,8.61435,0.55112,magenta,"(248, 81, 248)",8.94,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,50,457.0,435.0,8.61435,0.56854,blue/purple,"(22, 121, 227)",5.39,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,51,457.0,470.0,8.61435,0.60787,red/orange,"(255, 50, 0)",9.22,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,52,493.0,476.0,16.85469,0.61461,red/orange,"(255, 50, 0)",9.0,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,53,493.33,444.67,16.95976,0.5794,blue/purple,"(159, 92, 240)",9.22,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,54,495.0,429.0,17.49504,0.5618,orange/yellow,"(222, 194, 115)",7.07,visible_marker_core,distance_transform_marker_core_digitization
Fig2,c,55,507.0,439.0,21.8817,0.57303,yellow,"(214, 201, 114)",5.1,visible_marker_core,distance_transform_marker_core_digitization
