figure,series,annealing_time_s,s_star_j_mol_k,source
S7,348 K,0.1,0,digitized_from_supplementary_figure
S7,348 K,0.2,0,digitized_from_supplementary_figure
S7,348 K,0.5,0,digitized_from_supplementary_figure
S7,348 K,1,0,digitized_from_supplementary_figure
S7,348 K,2,0,digitized_from_supplementary_figure
S7,348 K,5,0,digitized_from_supplementary_figure
S7,348 K,10,17,digitized_from_supplementary_figure
S7,348 K,20,9,digitized_from_supplementary_figure
S7,348 K,50,9,digitized_from_supplementary_figure
S7,348 K,100,15,digitized_from_supplementary_figure
S7,348 K,200,31,digitized_from_supplementary_figure
S7,348 K,500,86,digitized_from_supplementary_figure
S7,348 K,1000,108,digitized_from_supplementary_figure
S7,348 K,2000,115,digitized_from_supplementary_figure
S7,348 K,5000,115,digitized_from_supplementary_figure
S7,363 K,0.1,0,digitized_from_supplementary_figure
S7,363 K,0.2,0,digitized_from_supplementary_figure
S7,363 K,0.5,0,digitized_from_supplementary_figure
S7,363 K,1,1,digitized_from_supplementary_figure
S7,363 K,2,4,digitized_from_supplementary_figure
S7,363 K,5,14,digitized_from_supplementary_figure
S7,363 K,10,16,digitized_from_supplementary_figure
S7,363 K,20,38,digitized_from_supplementary_figure
S7,363 K,50,95,digitized_from_supplementary_figure
S7,363 K,100,122,digitized_from_supplementary_figure
S7,363 K,200,132,digitized_from_supplementary_figure
S7,363 K,500,135,digitized_from_supplementary_figure
S7,363 K,1000,132,digitized_from_supplementary_figure
S7,363 K,2000,132,digitized_from_supplementary_figure
S7,363 K,5000,131,digitized_from_supplementary_figure
S7,373 K,0.1,2,digitized_from_supplementary_figure
S7,373 K,0.2,2,digitized_from_supplementary_figure
S7,373 K,0.5,3,digitized_from_supplementary_figure
S7,373 K,1,5,digitized_from_supplementary_figure
S7,373 K,2,8,digitized_from_supplementary_figure
S7,373 K,5,25,digitized_from_supplementary_figure
S7,373 K,10,82,digitized_from_supplementary_figure
S7,373 K,20,127,digitized_from_supplementary_figure
S7,373 K,50,144,digitized_from_supplementary_figure
S7,373 K,100,144,digitized_from_supplementary_figure
S7,373 K,200,146,digitized_from_supplementary_figure
S7,373 K,500,140,digitized_from_supplementary_figure
S7,373 K,1000,139,digitized_from_supplementary_figure
S7,373 K,2000,143,digitized_from_supplementary_figure
S7,383 K,0.1,12,digitized_from_supplementary_figure
S7,383 K,0.2,13,digitized_from_supplementary_figure
S7,383 K,0.5,14,digitized_from_supplementary_figure
S7,383 K,1,20,digitized_from_supplementary_figure
S7,383 K,2,45,digitized_from_supplementary_figure
S7,383 K,5,132,digitized_from_supplementary_figure
S7,383 K,10,158,digitized_from_supplementary_figure
S7,383 K,20,163,digitized_from_supplementary_figure
S7,383 K,50,157,digitized_from_supplementary_figure
S7,383 K,100,157,digitized_from_supplementary_figure
S7,383 K,200,154,digitized_from_supplementary_figure
S7,383 K,500,153,digitized_from_supplementary_figure
S7,383 K,1000,157,digitized_from_supplementary_figure
S7,383 K,2000,158,digitized_from_supplementary_figure
