sample_id,source_file,cycle_id,mode,T1_C,t1_s,T2_C,t2_s,total_anneal_time_s,heating_rate_C_min,arrt_peak_temperature_Tp_C,n_points,temp_min_C,temp_max_C,covers_arrt_peak_window,is_truncated,feature_integration_low_C,feature_integration_high_C,feature_peak_low_C,feature_peak_high_C,delta_h_total_rel,delta_h_total_J_g,peak_area_rel,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,onset_temperature_C,kovacs_peak_label,delta_h_total_40_160_rel,delta_h_total_40_160_J_g,peak_area_40_160_rel,peak_area_40_160_J_g,peak_temperature_Tp_40_160_C,peak_height_40_160_uW,onset_temperature_40_160_C,legacy_feature_integration_low_C,legacy_feature_integration_high_C,legacy_feature_peak_low_C,legacy_feature_peak_high_C,recovery_index
onestep_50_001,PS-onestep-01.xlsx,1,single_step,50.0,0.1002,nan,nan,0.1002,10.0,106.074775695801,9945,30.0012397766113,196.866165161133,True,False,70.0,105.0,70.0,105.0,-4424.41254535125,-5.648186228107978,-3118.922174116985,-3.9816027754684904,104.995712280273,-137.85214959847326,70.0083923339844,0,-15826.256586566837,-20.203731812638512,-6521.870527571127,-8.325792162856757,106.074775695801,-142.62880393553746,70.0083923339844,40.0,160.0,70.0,140.0,1.0
onestep_50_002,PS-onestep-01.xlsx,2,single_step,50.0,0.4998,nan,nan,0.4998,10.0,106.212524414063,9947,30.0061817169189,196.868957519531,True,False,70.0,105.0,70.0,105.0,-4333.891022462411,-5.532626837186056,-3056.43346599754,-3.901829956592605,104.997756958008,-135.17974192801557,70.0149688720703,0,-15504.058438782424,-19.79241502823288,-6374.797776824781,-8.138039715095465,106.212524414063,-139.77139050773735,70.0149688720703,40.0,160.0,70.0,140.0,0.9795404424969479
onestep_50_003,PS-onestep-01.xlsx,3,single_step,50.0,0.7979999999999999,nan,nan,0.7979999999999999,10.0,106.094985961914,9949,30.0055713653564,196.888534545898,True,False,70.0,105.0,70.0,105.0,-4241.269460027398,-5.4143865447158275,-2983.2360501448375,-3.808386446993409,104.998481750488,-131.80359476521585,70.0039138793945,0,-15171.027365179967,-19.36726897682549,-6219.29046500165,-7.939519742555297,106.094985961914,-136.39214035182204,70.0039138793945,40.0,160.0,70.0,140.0,0.958606236772319
onestep_50_004,PS-onestep-01.xlsx,4,single_step,50.0,1.0002,nan,nan,1.0002,10.0,106.072937011719,9949,30.0085754394531,196.89372253418,True,False,70.0,105.0,70.0,105.0,-4129.627058295269,-5.271864329738642,-2903.907600145103,-3.7071160852916205,104.994026184082,-128.62473277191884,70.0050964355469,0,-14747.290024862756,-18.82632769131415,-6046.33325411081,-7.718723303120182,106.072937011719,-132.9108013581681,70.0050964355469,40.0,160.0,70.0,140.0,0.9333729655554583
onestep_50_005,PS-onestep-01.xlsx,5,single_step,50.0,4.998,nan,nan,4.998,10.0,106.031158447266,9952,30.0055713653564,196.923080444336,True,False,70.0,105.0,70.0,105.0,-3988.876977475713,-5.09218337550091,-2809.83322973738,-3.5870211443455906,104.985168457031,-125.31554457096809,70.0049057006836,0,-14309.873799488609,-18.267923999347158,-5885.044495692095,-7.5128227604579925,106.031158447266,-129.5931655651318,70.0049057006836,40.0,160.0,70.0,140.0,0.9015608143654786
onestep_50_006,PS-onestep-01.xlsx,6,single_step,50.0,10.020000000000001,nan,nan,10.020000000000001,10.0,106.096099853516,9955,30.0031318664551,196.949447631836,True,False,70.0,105.0,70.0,105.0,-3928.410079386515,-5.014991590706189,-2771.9691918923368,-3.5386840747561745,104.999114990234,-123.43510175883443,70.0046615600586,0,-14046.53540758715,-17.931747328834657,-5787.886499237373,-7.388791275622178,106.096099853516,-127.29593475649472,70.0046615600586,40.0,160.0,70.0,140.0,0.8878941642804339
onestep_50_007,PS-onestep-01.xlsx,7,single_step,50.0,49.98,nan,nan,49.98,10.0,105.979133605957,9956,30.00075340271,196.946746826172,True,False,70.0,105.0,70.0,105.0,-3858.420552360224,-4.9256432583322,-2715.6519221488784,-3.4667896878496314,104.984260559082,-121.71254472201485,70.0056991577148,0,-13841.283454970935,-17.669723559537363,-5691.048548470358,-7.265168359749392,105.979133605957,-125.61245600986354,70.0056991577148,40.0,160.0,70.0,140.0,0.8720752219216726
onestep_50_008,PS-onestep-01.xlsx,8,single_step,50.0,100.02,nan,nan,100.02,10.0,106.020072937012,9957,30.0084075927734,196.974899291992,True,False,70.0,105.0,70.0,105.0,-3800.5135689092212,-4.8517194496713465,-2672.331336674418,-3.411486812775852,104.991310119629,-119.42971691768548,70.0067596435547,0,-13625.768511101476,-17.39459809927848,-5591.98169936918,-7.1387000417478905,106.020072937012,-123.10085712175828,70.0067596435547,40.0,160.0,70.0,140.0,0.858987160431601
onestep_50_009,PS-onestep-01.xlsx,9,single_step,50.0,499.98,nan,nan,499.98,10.0,106.014137268066,9957,30.0068969726563,196.972686767578,True,False,70.0,105.0,70.0,105.0,-3748.871366194203,-4.785793233439408,-2638.783736531449,-3.368660089189084,104.985679626465,-117.53741291258098,70.0024185180664,0,-13364.578010902158,-17.061163418172967,-5510.578222594716,-7.034780709695381,106.014137268066,-121.00782160022982,70.0024185180664,40.0,160.0,70.0,140.0,0.8473150565792423
onestep_50_010,PS-onestep-01.xlsx,10,single_step,50.0,1000.0200000000001,nan,nan,1000.0200000000001,10.0,106.020072937012,9958,30.0070495605469,196.997665405273,True,False,70.0,105.0,70.0,105.0,-3734.199103273919,-4.767062685030535,-2626.329724980668,-3.3527613510391503,104.991279602051,-117.47280558478997,70.0068511962891,0,-13209.824122952385,-16.86360526334347,-5476.817279448381,-6.9916816333383585,106.020072937012,-120.79299579363828,70.0068511962891,40.0,160.0,70.0,140.0,0.8439988506943049
