condition_key,mode,T1_C,t1_s,T2_C,t2_s,n_scans,n_distinct_heating_rates,heating_rates_C_min,n_valid_peak_rates,valid_heating_rates_C_min,n_truncated_scans,can_calculate_arrt_kissinger,reason,total_anneal_time_s,mean_delta_h_total_J_g,mean_peak_area_J_g,mean_recovery_index,mean_peak_temperature_Tp_C,mean_peak_height_uW,activation_energy_E_kj_mol,activation_enthalpy_H_star_kj_mol,activation_entropy_S_star_j_mol_K,mean_peak_temperature_Tp_K,kissinger_slope,kissinger_intercept,kissinger_r2,kissinger_confidence,quality_flag,quality_note
single_step|70|300||,single_step,70,300,,,4,4,5;10;20;40,4,5;10;20;40,0,True,ok,300.0,-1.3695408298945249,-1.0134499924323621,0.5461761117553071,104.98285484313976,-842.5814075940136,72.80121729857863,69.644034109495,-49.64846615788257,379.7218574523925,-8755.973854477299,9.756378588892016,0.9047859208884228,low,ok,
single_step|80|1000||,single_step,80,1000,,,4,4,5;10;20;40,4,5;10;20;40,0,True,ok,1000.000000000002,0.3347398895834246,0.07398491330672208,0.5162779227850837,104.980188369751,-836.5917977571785,174.34649603664027,171.230172111364,231.39617997930054,374.8076175689698,-20969.06367177403,42.6579450946543,0.9573110773303544,high,ok,
single_step|80|50||,single_step,80,50,,,4,4,5;10;20;40,4,5;10;20;40,0,True,ok,49.999999999999986,0.5129332783587117,0.32937240187441336,0.5210375842339436,104.989881515503,-768.8273722893001,72.89931960217427,69.74216740075384,-49.3764923334604,379.7181304931639,-8767.772849565863,9.787679533355162,0.9052434982988712,low,ok,
single_step|80|500||,single_step,80,500,,,4,4,5;10;20;40,4,5;10;20;40,0,True,ok,499.99999999999983,0.4724524586551355,0.21229366309150544,0.5183587827146807,104.98601913452126,-800.889770727467,157.2451065392352,154.12567255633226,184.46620519217842,375.1816715240478,-18912.239282418177,37.11884242324795,0.9438437667667714,low,ok,
single_step|90|100||,single_step,90,100,,,4,4,5;10;20;40,4,5;10;20;40,0,True,ok,100.0002,-0.5842400197387255,-0.3690720738747565,0.5159501486199686,99.84795951843267,-855.6260556096424,165.95959043064622,162.83598532431907,207.5339362346745,375.6833423614502,-19960.35078302008,39.83825837355192,0.9510926122385703,high,ok,
single_step|90|50||,single_step,90,50,,,4,4,5;10;20;40,4,5;10;20;40,0,True,ok,49.999999999999986,0.8630822951246487,0.5147922092379315,0.5167781001994824,104.98131942749025,-773.5417437191243,72.56336306503579,69.40721864458773,-50.23572751071656,379.59692230224607,-8727.366565652217,9.689151275089479,0.8955597180150192,low,ok,
single_step|90|500||,single_step,90,500,,,4,4,5;10;20;40,4,5;10;20;40,0,True,ok,499.99999999999983,1.085453508125275,0.8857772315693586,0.5044378997151563,100.0572128295897,-839.0013838581785,207.70673179143287,204.58301554818473,320.51913628847115,375.696709060669,-24981.37779078349,53.19895860953825,0.9561786168902118,high,suspect_retest_required,90 C 500 s H*/S* decreased unexpectedly relative to shorter 90 C holds; retest before using as a strict kinetic label.
single_step|95|100.02||,single_step,95,100.02,,,6,5,5;10;20;40;60,5,5;10;20;40;60,0,True,ok,100.02,-5.175874348786726,-3.676369841716724,0.49070627141474926,96.76705169677734,-1419.8301366120388,189.39592049106056,186.25956303096288,270.44150472268706,377.2170979817708,-22779.09339294475,47.26988367172977,0.8980643276054434,low,ok,
two_step|50|10|100|1800,two_step,50,10,100,1800,5,4,5;10;20;40,4,5;10;20;40,0,True,ok,1810.00002,0.9658825875025814,0.9051996362504495,0.4204064578330559,98.51641693115222,-632.322115224439,157.05496964189732,153.9239958310223,181.74400743341977,376.5695938110353,-18889.371069994835,36.79269030107372,0.8171886564359792,low,ok,
two_step|50|10|80|1800,two_step,50,10,80,1800,5,4,5;10;20;40,4,5;10;20;40,0,True,ok,1810.00002,0.17171044999478347,0.22560289943564396,0.4098419181239897,93.81752166748063,-708.0713717483934,191.771891838245,188.6563897838206,278.23755758752685,374.70876922607414,-23064.85706238466,48.19469640281817,0.9573919348875733,high,ok,
two_step|65|10|100|1200,two_step,65,10,100,1200,5,4,5;10;20;40,4,5;10;20;40,0,True,ok,1210.00002,1.219175292744208,1.0897534659281611,0.41456668383020423,98.02096710205089,-635.6467611790804,154.6886407174404,151.55667943726087,175.19572729842213,376.6883590698244,-18604.76711744468,36.02061303553308,0.7952240519594166,low,ok,
