condition_key,mode,T1_C,t1_s,T2_C,t2_s,n_scans,n_distinct_heating_rates,heating_rates_C_min,n_valid_peak_rates,valid_heating_rates_C_min,n_truncated_scans,can_calculate_arrt_kissinger,reason
single_step|100|100.02||,single_step,100,100.02,,,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
single_step|100|30||,single_step,100,30,,,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
single_step|100|300||,single_step,100,300,,,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
single_step|50|0.1002||,single_step,50,0.1002,,,2,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
single_step|50|0.4998||,single_step,50,0.4998,,,2,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
single_step|50|0.798||,single_step,50,0.798,,,2,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
single_step|50|1.0002||,single_step,50,1.0002,,,2,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
single_step|50|10.02||,single_step,50,10.02,,,2,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
single_step|50|100.02||,single_step,50,100.02,,,2,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
single_step|50|1000.02||,single_step,50,1000.02,,,2,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
single_step|50|4.998||,single_step,50,4.998,,,2,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
single_step|50|49.98||,single_step,50,49.98,,,2,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
single_step|50|499.98||,single_step,50,499.98,,,2,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
single_step|70|0.1002||,single_step,70,0.1002,,,2,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
single_step|70|0.4998||,single_step,70,0.4998,,,2,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
single_step|70|0.798||,single_step,70,0.798,,,2,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
single_step|70|1.0002||,single_step,70,1.0002,,,2,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
single_step|70|10.02||,single_step,70,10.02,,,2,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
single_step|70|100.02||,single_step,70,100.02,,,2,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
single_step|70|1000.02||,single_step,70,1000.02,,,2,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
single_step|70|300||,single_step,70,300,,,4,4,5;10;20;40,4,5;10;20;40,0,True,ok
single_step|70|4.998||,single_step,70,4.998,,,2,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
single_step|70|49.98||,single_step,70,49.98,,,2,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
single_step|70|499.98||,single_step,70,499.98,,,2,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
single_step|80|1000||,single_step,80,1000,,,4,4,5;10;20;40,4,5;10;20;40,0,True,ok
single_step|80|50||,single_step,80,50,,,4,4,5;10;20;40,4,5;10;20;40,0,True,ok
single_step|80|500||,single_step,80,500,,,4,4,5;10;20;40,4,5;10;20;40,0,True,ok
single_step|90|100||,single_step,90,100,,,4,4,5;10;20;40,4,5;10;20;40,0,True,ok
single_step|90|1000||,single_step,90,1000,,,4,4,5;10;20;40,0,,4,False,need at least three valid Tp values covering the ARRT peak window
single_step|90|300||,single_step,90,300,,,1,1,10,1,10,0,False,need at least three valid Tp values covering the ARRT peak window
single_step|90|50||,single_step,90,50,,,4,4,5;10;20;40,4,5;10;20;40,0,True,ok
