condition_key,actual_t1_s,actual_t2_s,mode,T1_C,T2_C,t1_s,t2_s,total_anneal_time_s,rank,loss,target_loss,mean_uncertainty,loss_components,pred_delta_h_total_J_g,uncertainty_delta_h_total_J_g,target_delta_h_total_J_g,error_delta_h_total_J_g,pred_peak_area_J_g,uncertainty_peak_area_J_g,target_peak_area_J_g,error_peak_area_J_g,pred_activation_enthalpy_H_star_kj_mol,uncertainty_activation_enthalpy_H_star_kj_mol,target_activation_enthalpy_H_star_kj_mol,error_activation_enthalpy_H_star_kj_mol,pred_activation_entropy_S_star_j_mol_K,uncertainty_activation_entropy_S_star_j_mol_K,target_activation_entropy_S_star_j_mol_K,error_activation_entropy_S_star_j_mol_K
two_step|50|10|100|1800,10.0,1800.0,two_step,50,100,10,600,610,1,0.2022928893836052,0.18815302776025866,22.17800416534089,"{'target_loss': 0.18815302776025866, 'time_penalty': 0.005083333333333334, 'uncertainty_penalty': 0.009056528290013209}",-0.8336482503540608,0.09577530509475474,-0.8697079248385762,0.036059674484515414,-1.8243827760178786,0.05491324999328217,-1.8294959836536144,0.005113207635735861,478.1977931100586,23.970799736556852,464.080702165651,14.117090944407607,1046.763068281972,64.59052836971867,1009.1671352867368,37.595932995235216
two_step|50|10|100|1800,10.0,1800.0,two_step,50,100,30,1200,1230,2,0.20329850714987704,0.18199688777402942,16.3207095398024,"{'target_loss': 0.18199688777402942, 'time_penalty': 0.01025, 'uncertainty_penalty': 0.011051619375847633}",-0.8321675680452766,0.16568724011463748,-0.8697079248385762,0.03754035679329959,-1.8144146336311293,0.0927564637057822,-1.8294959836536144,0.015081350022485118,475.3335944101151,17.61603392138729,464.080702165651,11.252892244464078,1039.0497659045354,47.408360534001886,1009.1671352867368,29.882630617798668
two_step|50|10|100|1800,10.0,1800.0,two_step,50,100,30,1800,1830,3,0.21313073797770765,0.18824783054185523,23.589025821819675,"{'target_loss': 0.18824783054185523, 'time_penalty': 0.01525, 'uncertainty_penalty': 0.009632907435852415}",-0.8365652924543625,0.10187176056669697,-0.8697079248385762,0.033142632384213666,-1.8260507238785866,0.05840970672833226,-1.8294959836536144,0.0034452597750278535,478.92993361450874,25.495882687399032,464.080702165651,14.849231448857722,1048.7358652366997,68.69993913258463,1009.1671352867368,39.56872994996297
two_step|50|10|100|1800,10.0,1800.0,two_step,50,100,10,900,910,4,0.24996883980795861,0.22914067505751678,32.50159003455639,"{'target_loss': 0.22914067505751678, 'time_penalty': 0.007583333333333333, 'uncertainty_penalty': 0.013244831417108504}",-0.8606771318457674,0.1397610806085723,-0.8697079248385762,0.009030792992808734,-1.839911532128926,0.08014888585314975,-1.8294959836536144,-0.010415548475311676,485.00186504733324,35.12909910417538,464.080702165651,20.92116288168222,1065.097016383157,94.65735106758846,1009.1671352867368,55.92988109642033
two_step|50|10|100|1800,10.0,1800.0,two_step,50,100,10,1200,1210,5,0.3445380135806765,0.3187506562477297,38.53918919205386,"{'target_loss': 0.3187506562477297, 'time_penalty': 0.010083333333333333, 'uncertainty_penalty': 0.015704023999613455}",-0.8843478323107127,0.1656971353269799,-0.8697079248385762,-0.014639907472136504,-1.853487073785486,0.09502326588909635,-1.8294959836536144,-0.023991090131871617,490.95405146488315,41.654801127067564,464.080702165651,26.87334929923213,1081.1355234583393,112.2412352399318,1009.1671352867368,71.96838817160256
two_step|50|10|100|1800,10.0,1800.0,two_step,50,100,10,1800,1810,6,0.5117297409749002,0.47846305510372644,44.623482306158714,"{'target_loss': 0.47846305510372644, 'time_penalty': 0.015083333333333332, 'uncertainty_penalty': 0.01818335253784046}",-0.9180495165962036,0.19185704967138253,-0.8697079248385762,-0.04834159175762742,-1.8728119476718057,0.11002663891931787,-1.8294959836536144,-0.043315964018191266,499.42762382564865,48.230964603979146,464.080702165651,35.34692165999763,1103.9680510682308,129.96108093206502,1009.1671352867368,94.80091578149404
two_step|50|10|100|1800,10.0,1800.0,two_step,50,100,900,10,910,7,0.8662773518310848,0.8113660764577562,52.84478848826224,"{'target_loss': 0.8113660764577562, 'time_penalty': 0.007583333333333333, 'uncertainty_penalty': 0.0473279420399953}",-1.183007070241847,0.7505435863087133,-0.8697079248385762,-0.31329914540327075,-1.7678207511811637,0.4616651649320859,-1.8294959836536144,0.06167523247245077,495.8653777561917,57.03652567243907,464.080702165651,31.7846755905407,1094.4946655614106,153.13041952936908,1009.1671352867368,85.32753027467379
two_step|50|10|100|1800,10.0,1800.0,two_step,50,100,600,10,610,8,0.8684969650564742,0.8158158668153225,52.67563573860704,"{'target_loss': 0.8158158668153225, 'time_penalty': 0.005083333333333334, 'uncertainty_penalty': 0.04759776490781842}",-1.18622532706294,0.7571366132757871,-0.8697079248385762,-0.31651740222436375,-1.7645000330999556,0.4653071162676091,-1.8294959836536144,0.06499595055365881,495.23707719225064,56.85378079510077,464.080702165651,31.15637502659962,1092.8041510659446,152.62631842978402,1009.1671352867368,83.63701577920779
two_step|50|10|100|1800,10.0,1800.0,two_step,50,100,1200,10,1210,9,0.9143377334199227,0.8556693077691719,53.91772699121195,"{'target_loss': 0.8556693077691719, 'time_penalty': 0.010083333333333333, 'uncertainty_penalty': 0.04858509231741752}",-1.2049468217919894,0.7696443217507787,-0.8697079248385762,-0.33523889695341325,-1.7629954233456842,0.47623452067900013,-1.8294959836536144,0.06650056030793028,496.6645375395002,58.19656453639633,464.080702165651,32.58383537384918,1096.6566253717128,156.2284645860217,1009.1671352867368,87.48949008497607
two_step|50|10|100|1800,10.0,1800.0,two_step,50,100,10,300,310,10,0.9317348058290306,0.8798102855477015,54.30094655318406,"{'target_loss': 0.8798102855477015, 'time_penalty': 0.002583333333333333, 'uncertainty_penalty': 0.04934118694799573}",-1.217827226902161,0.7827623483782428,-0.8697079248385762,-0.3481193020635849,-1.758632348252955,0.48533854242028346,-1.8294959836536144,0.07086363540065954,496.6266719010148,58.611075674654835,464.080702165651,32.54596973536377,1096.5601877069705,157.3246096472829,1009.1671352867368,87.39305242023374
two_step|50|10|80|1800,10.0,1800.0,two_step,50,80,10,10,20,1,1.9955068774833107,1.9505321379390594,34.79332614396147,"{'target_loss': 1.9505321379390594, 'time_penalty': 0.00016666666666666666, 'uncertainty_penalty': 0.044808072877584586}",-1.1395205268546478,0.7947655822180824,-1.2671552427696309,0.1276347159149831,-1.7097668702278015,0.4637702772496843,-2.073021479694054,0.36325460946625254,472.06889040313035,37.566840137442405,587.2107401307184,-115.14184972758801,1030.4769251523246,100.34792857893571,1340.5046877972368,-310.0277626449122
two_step|50|10|80|1800,10.0,1800.0,two_step,50,80,10,30,40,2,1.9956735441499773,1.9505321379390594,34.79332614396147,"{'target_loss': 1.9505321379390594, 'time_penalty': 0.0003333333333333333, 'uncertainty_penalty': 0.044808072877584586}",-1.1395205268546478,0.7947655822180824,-1.2671552427696309,0.1276347159149831,-1.7097668702278015,0.4637702772496843,-2.073021479694054,0.36325460946625254,472.06889040313035,37.566840137442405,587.2107401307184,-115.14184972758801,1030.4769251523246,100.34792857893571,1340.5046877972368,-310.0277626449122
two_step|50|10|80|1800,10.0,1800.0,two_step,50,80,30,10,40,3,1.9956735441499773,1.9505321379390594,34.79332614396147,"{'target_loss': 1.9505321379390594, 'time_penalty': 0.0003333333333333333, 'uncertainty_penalty': 0.044808072877584586}",-1.1395205268546478,0.7947655822180824,-1.2671552427696309,0.1276347159149831,-1.7097668702278015,0.4637702772496843,-2.073021479694054,0.36325460946625254,472.06889040313035,37.566840137442405,587.2107401307184,-115.14184972758801,1030.4769251523246,100.34792857893571,1340.5046877972368,-310.0277626449122
two_step|50|10|80|1800,10.0,1800.0,two_step,50,80,30,30,60,4,1.995840210816644,1.9505321379390594,34.79332614396147,"{'target_loss': 1.9505321379390594, 'time_penalty': 0.0004999999999999999, 'uncertainty_penalty': 0.044808072877584586}",-1.1395205268546478,0.7947655822180824,-1.2671552427696309,0.1276347159149831,-1.7097668702278015,0.4637702772496843,-2.073021479694054,0.36325460946625254,472.06889040313035,37.566840137442405,587.2107401307184,-115.14184972758801,1030.4769251523246,100.34792857893571,1340.5046877972368,-310.0277626449122
two_step|50|10|80|1800,10.0,1800.0,two_step,50,80,10,60,70,5,1.9959235441499774,1.9505321379390594,34.79332614396147,"{'target_loss': 1.9505321379390594, 'time_penalty': 0.0005833333333333334, 'uncertainty_penalty': 0.044808072877584586}",-1.1395205268546478,0.7947655822180824,-1.2671552427696309,0.1276347159149831,-1.7097668702278015,0.4637702772496843,-2.073021479694054,0.36325460946625254,472.06889040313035,37.566840137442405,587.2107401307184,-115.14184972758801,1030.4769251523246,100.34792857893571,1340.5046877972368,-310.0277626449122
two_step|50|10|80|1800,10.0,1800.0,two_step,50,80,60,10,70,6,1.9959235441499774,1.9505321379390594,34.79332614396147,"{'target_loss': 1.9505321379390594, 'time_penalty': 0.0005833333333333334, 'uncertainty_penalty': 0.044808072877584586}",-1.1395205268546478,0.7947655822180824,-1.2671552427696309,0.1276347159149831,-1.7097668702278015,0.4637702772496843,-2.073021479694054,0.36325460946625254,472.06889040313035,37.566840137442405,587.2107401307184,-115.14184972758801,1030.4769251523246,100.34792857893571,1340.5046877972368,-310.0277626449122
two_step|50|10|80|1800,10.0,1800.0,two_step,50,80,60,30,90,7,1.996090210816644,1.9505321379390594,34.79332614396147,"{'target_loss': 1.9505321379390594, 'time_penalty': 0.0007499999999999999, 'uncertainty_penalty': 0.044808072877584586}",-1.1395205268546478,0.7947655822180824,-1.2671552427696309,0.1276347159149831,-1.7097668702278015,0.4637702772496843,-2.073021479694054,0.36325460946625254,472.06889040313035,37.566840137442405,587.2107401307184,-115.14184972758801,1030.4769251523246,100.34792857893571,1340.5046877972368,-310.0277626449122
two_step|50|10|80|1800,10.0,1800.0,two_step,50,80,30,60,90,8,1.996090210816644,1.9505321379390594,34.79332614396147,"{'target_loss': 1.9505321379390594, 'time_penalty': 0.0007499999999999999, 'uncertainty_penalty': 0.044808072877584586}",-1.1395205268546478,0.7947655822180824,-1.2671552427696309,0.1276347159149831,-1.7097668702278015,0.4637702772496843,-2.073021479694054,0.36325460946625254,472.06889040313035,37.566840137442405,587.2107401307184,-115.14184972758801,1030.4769251523246,100.34792857893571,1340.5046877972368,-310.0277626449122
