pair,n,t1_log10_MAE,t2_log10_MAE,t1_factor_error_median,t2_factor_error_median,top1_time_near_match,top5_time_near_match,top10_time_near_match,posterior_t1_coverage,posterior_t2_coverage,posterior_width_log10_t1_median,posterior_width_log10_t2_median
50->100,4,0.3255393628410874,0.4333566370242507,1.5014011588663498,1.6499820003599928,0.75,0.75,0.75,1.0,1.0,1.5911180976061396,1.2786025657966265
50->65,1,8.685880952263858e-07,0.0,1.000002,1.0,1.0,1.0,1.0,1.0,1.0,1.000780871319578,1.7559837506765668
50->70,3,0.27498369453640953,0.4923737515732208,2.0008043217286917,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.969879625179043,2.255272505103306
50->75,1,0.47712038613156715,0.47712038613156715,2.999994000012,2.999994000012,1.0,1.0,1.0,0.0,1.0,0.5229569104708218,1.0492346237722554
50->80,2,0.1506027426928796,0.12763190965026294,1.5004031608643458,1.3999820003599928,1.0,1.0,1.0,1.0,1.0,1.8652847456903514,1.719484068488749
50->85,1,0.9999991314119048,0.22193559982800548,9.999980000039999,1.667,0.0,0.0,0.0,0.0,1.0,0.5229655954919867,0.5007980957849099
55->90,1,3.079354998593212,0.4770344045080135,1200.4801920768307,2.9994001199760048,0.0,1.0,1.0,0.0,1.0,3.769363667034982,2.07126399002314
65->100,2,1.1506062170061744,0.03958628012242227,51.001302159064345,1.0999880002399953,0.5,0.5,0.5,0.5,1.0,1.8348564292150176,1.3550979286647926
65->65,1,1.9991331470568683,2.5564762533128746,99.80059880239523,360.1440576230492,0.0,1.0,1.0,0.0,0.0,1.6280575901013252,2.979120456111699
65->85,1,2.000007817214685,0.17609125905568135,100.0017999964,1.5,0.0,0.0,0.0,1.0,1.0,4.2367956576665105,2.2376633791977376
75->100,2,1.039677499296606,0.866153020511612,13.004015608655457,10.498197359934014,0.0,0.5,0.5,1.0,1.0,1.8016766915704243,1.627636252551653
80->90,20,0.19825926590904946,0.5987185637292425,1.4332400960384155,2.0012004801920766,0.55,0.8,0.9,0.95,0.85,1.0000434641350877,1.7279664346162027
85->100,1,0.0008668529431317129,0.07917256024484454,1.0019979960040077,1.1999760004799904,1.0,1.0,1.0,1.0,1.0,1.3020714697407958,1.255272505103306
90->80,20,0.13798555711554256,0.648458090820801,1.2004801920768309,3.327511976047904,0.45,0.8,0.9,0.95,0.85,0.6076967346478256,2.139466050547405
