sample_id,source_file,pair,T1_C,T2_C,actual_t1_s,actual_t2_s,pred_t1_s,pred_t2_s,abs_log_error_t1,abs_log_error_t2,t1_factor_error,t2_factor_error,top1_time_near_match,top5_time_near_match,top10_time_near_match,posterior_contains_actual_t1,posterior_contains_actual_t2,posterior_width_log10_t1,posterior_width_log10_t2,posterior_n_valid_candidates,loss_flatness_ratio,best_loss,target_delta_h_total_J_g,best_pred_delta_h_total_J_g,best_error_delta_h_total_J_g,target_peak_area_J_g,best_pred_peak_area_J_g,best_error_peak_area_J_g,target_recovery_index,best_pred_recovery_index,best_error_recovery_index,target_path_dependence_index,best_pred_path_dependence_index,best_error_path_dependence_index
kovacs_eig_01_002,ps-kovacs-01.xlsx,65->100,65.0,100.0,10.000020000000001,1200.0,4.998,1000.02,0.30120461679766397,0.07917256024484454,2.0008043217286917,1.1999760004799904,True,True,True,False,True,1.3012037482095686,1.4549363797580268,23,2.0718414024875087,0.2067244033103449,-1.0348745117784686,-1.033498977181556,0.001375534596912642,-1.8937568826751487,-1.8895709267799767,0.004185955895172011,0.8182921801359746,0.8222821572619071,0.00398997712593252,0.12552056133551504,0.21543271847199805,0.08991215713648301
kovacs_eig_01_003,ps-kovacs-01.xlsx,50->80,50.0,80.0,10.000020000000001,1800.0,10.0,1800.0,8.685880952263858e-07,0.0,1.000002,1.0,True,True,True,True,True,1.999869841770316,2.1837043168953567,24,3.6086001688921847,0.19179785691369275,-1.3494640141366285,-1.3411058477177207,0.008358166418907853,-2.0965362600141484,-2.077338343475525,0.01919791653862335,1.0,0.9568503015264516,-0.04314969847354844,-0.22395717867362253,-0.19613799911536306,0.027819179558259466
kovacs_eig_01_004,ps-kovacs-01.xlsx,50->100,50.0,100.0,10.000020000000001,10.000020000000001,100.02,0.4998,1.0000859816235539,1.3012046167976639,10.001979996040006,20.008043217286914,False,False,False,True,True,2.0833713650317818,1.3019413115111118,24,0.8364891763533572,0.12293423818332277,-0.9448983335947144,-0.9347654428351784,0.01013289075953605,-1.733195786910836,-1.726760864803359,0.006434922107477092,0.7002026906210237,0.6543787517600557,-0.04582393886096803,-0.2397959967216231,-0.23327493261900395,0.006521064102619156
kovacs_eig_01_005,ps-kovacs-01.xlsx,50->100,50.0,100.0,1800.0,10.000020000000001,1800.0,10.02,0.0,0.0008668529431317129,1.0,1.0019979960040077,True,True,True,True,True,4.254404783572079,1.3020714697407958,23,4.626635413079879,0.05353902556777225,-1.0979280042202304,-1.1004316579290037,-0.002503653708773257,-1.817888413755372,-1.831414211029288,-0.013525797273916007,0.8136030251408164,0.8128794597736165,-0.0007235653671998632,-0.3928256673471391,-0.39971166763019206,-0.006886000283052973
kovacs_eig_01_006,ps-kovacs-01.xlsx,55->90,55.0,90.0,600.0,300.0,0.4998,100.02,3.079354998593212,0.4770344045080135,1200.4801920768307,2.9994001199760048,False,True,True,False,True,3.769363667034982,2.07126399002314,23,2.1983056353690613,0.15252296237477164,-1.1977614957632745,-1.1805084539266282,0.017253041836646332,-1.9082959692093322,-1.9112980896148675,-0.003002120405535269,1.0,0.9926435573135635,-0.007356442686436537,-0.18880620872089904,-0.13888531888611727,0.04992088983478177
kovacs_eig_01_007,ps-kovacs-01.xlsx,50->70,50.0,70.0,10.000020000000001,1800.0,4.998,1800.0,0.30120461679766397,0.0,2.0008043217286917,1.0,True,True,True,False,True,1.999132278468773,2.255272505103306,23,0.8029996730848212,0.42316413449845236,-1.193298130178259,-1.1859178242754562,0.007380305902802808,-1.9742909268451183,-1.914176753166646,0.06011417367847227,0.8842756217858224,0.9485028374982534,0.06422721571243095,-0.06779129471525303,0.0059044641376503615,0.07369575885290339
kovacs_eig_01_008,ps-kovacs-01.xlsx,50->100,50.0,100.0,10.000020000000001,1800.0,10.02,1200.0,0.0008668529431317129,0.17609125905568135,1.0019979960040077,1.5,True,True,True,True,True,0.3020714697407957,0.556319872894008,23,2.079911570019465,0.17543763879137944,-0.9209352116157631,-0.908888594577256,0.012046617038507068,-1.8161675737894751,-1.8010367846067155,0.015130789182759674,0.6824451796922993,0.6827321242904361,0.000286944598136718,0.23945986149822052,0.18327359120698503,-0.05618627029123549
kovacs_eig_01_009,ps-kovacs-01.xlsx,50->85,50.0,85.0,10.000020000000001,60.0,100.0,100.02,0.9999991314119048,0.22193559982800548,9.999980000039999,1.667,False,False,False,False,True,0.5229655954919867,0.5007980957849099,23,1.090704714149871,0.07420761313354417,-0.7478574994172109,-0.7627881006829267,-0.01493060126571577,-1.6315597342153063,-1.6277669756651851,0.003792758550121178,0.5541885456617245,0.5491183119517508,-0.005070233709973726,-0.03052327631189189,-0.015455600248487703,0.015067676063404187
kovacs_eig_01_010,ps-kovacs-01.xlsx,75->100,75.0,100.0,10.000020000000001,1800.0,0.4998,100.02,1.3012046167976639,1.255185654891657,20.008043217286914,17.99640071985603,False,True,True,True,True,1.3020714697407958,1.255272505103306,23,1.3498605255730134,0.2404702698578289,-1.0508807941658473,-1.0702919427236472,-0.019411148557799907,-1.9177149893321301,-1.9010136206237342,0.01670136870839589,1.0,0.9252042391035243,-0.07479576089647566,0.10951427894813626,0.1295328384663986,0.02001855951826234
kovacs_eig_03_001,ps-kovacs-03.xlsx,50->65,50.0,65.0,10.000020000000001,1200.0,10.0,1200.0,8.685880952263858e-07,0.0,1.000002,1.0,True,True,True,True,True,1.000780871319578,1.7559837506765668,23,2.2127949164383702,0.17749679591279377,-0.9766531124625322,-0.9457834334467474,0.030869679015784746,-1.756735708550484,-1.7519484140925734,0.004787294457910596,0.7237340916329537,0.7417341551963201,0.018000063563366475,0.14885372300047384,0.10849580837514652,-0.04035791462532731
