sample_id,source_file,T1_bin,T2_bin,path_class,actual_T1_C,actual_t1_s,actual_T2_C,actual_t2_s,pred_T1_C,pred_t1_s,pred_T2_C,pred_t2_s,loss,target_loss,inverse_identifiability,extrapolation_penalty,T1_abs_error_C,T2_abs_error_C,t1_factor_error,t2_factor_error,top1_near_match,top5_near_match,top10_near_match,actual_like_rank,posterior_contains_actual_T1,posterior_contains_actual_T2,posterior_contains_actual_t1,posterior_contains_actual_t2,posterior_width_T1_C,posterior_width_T2_C,posterior_width_log10_t1_s,posterior_width_log10_t2_s,loss_flatness_ratio,posterior_n_valid_candidates
kovacs_eig_01_002,ps-kovacs-01.xlsx,65-75,T2 95-100,up-jump,65.0,10.000020000000001,100.0,1200.0,50.0,30.0,100.0,300.0,-0.15494147107854078,0.04991733795963628,0.8709407795326038,0.0,15.0,0.0,2.999994000012,4.0,False,False,False,42,False,True,True,True,10.0,5.0,1.7781512503836434,0.7781512503836434,1.4290624124248965,90
kovacs_eig_01_003,ps-kovacs-01.xlsx,50-60,T2 75-90,up-jump,50.0,10.000020000000001,80.0,1800.0,85.0,1800.0,95.0,1800.0,0.32945933313803755,0.38641747615707994,0.9833049357968594,0.0,35.0,15.0,179.99964000071998,1.0,False,False,False,2671,False,False,False,True,30.0,5.0,0.7781512503836434,0.7781512503836434,0.3369705370745119,90
kovacs_eig_01_004,ps-kovacs-01.xlsx,50-60,T2 95-100,up-jump,50.0,10.000020000000001,100.0,10.000020000000001,50.0,100.0,100.0,10.0,-0.06650288997760906,0.1414182423232202,0.9560433388815375,0.0,0.0,0.0,9.999980000039999,1.000002,False,False,False,17,True,True,True,True,15.0,5.0,2.255272505103306,1.0,1.7708596289295813,90
kovacs_eig_01_005,ps-kovacs-01.xlsx,50-60,T2 95-100,up-jump,50.0,1800.0,100.0,10.000020000000001,50.0,900.0,100.0,30.0,-0.07673859467105992,0.11164135633953347,0.8619017231132239,0.0,0.0,0.0,2.0,2.999994000012,True,True,True,1,True,True,True,True,10.0,5.0,1.4771212547196624,1.7781512503836434,3.0047392038178096,90
kovacs_eig_01_006,ps-kovacs-01.xlsx,50-60,T2 75-90,up-jump,55.0,600.0,90.0,300.0,70.0,300.0,100.0,300.0,0.14592839513330924,0.29616960845030144,1.0,0.0,15.0,10.0,2.0,1.0,False,False,True,10,True,False,True,True,25.0,5.0,1.255272505103306,0.7781512503836434,0.6460499353438595,90
kovacs_eig_01_007,ps-kovacs-01.xlsx,50-60,T2 50-70,up-jump,50.0,10.000020000000001,70.0,1800.0,70.0,100.0,100.0,300.0,-0.06016316984614822,0.1186125227626692,1.0,0.0,20.0,30.0,9.999980000039999,6.0,False,False,False,3562,False,False,False,True,32.749999999999986,5.0,1.642687752334852,0.7781512503836434,1.8729993509057308,90
kovacs_eig_01_008,ps-kovacs-01.xlsx,50-60,T2 95-100,up-jump,50.0,10.000020000000001,100.0,1800.0,60.0,10.0,95.0,60.0,0.1669586603806551,0.3545127015854298,1.0,3.851367973431823e-07,10.0,5.0,1.000002,30.0,False,False,False,15,True,True,True,False,20.0,5.0,1.9542425094393248,1.7781512503836434,0.6047989432978358,90
kovacs_eig_01_009,ps-kovacs-01.xlsx,50-60,T2 75-90,up-jump,50.0,10.000020000000001,85.0,60.0,60.0,100.0,95.0,10.0,0.19154331971882316,0.31457111697383733,0.7004405953604875,0.0,10.0,10.0,9.999980000039999,6.0,False,False,False,2595,True,False,True,False,30.0,5.0,1.9542425094393248,0.4771212547196624,0.914947689318103,90
kovacs_eig_01_010,ps-kovacs-01.xlsx,65-75,T2 95-100,up-jump,75.0,10.000020000000001,100.0,1800.0,60.0,100.0,100.0,600.0,-0.029383347626902923,0.16580505772328674,0.9111547964549184,0.0,15.0,0.0,9.999980000039999,3.0,False,False,False,67,False,True,True,True,20.0,5.0,1.7781512503836434,0.7781512503836434,5.181930378823775,90
kovacs_eig_03_001,ps-kovacs-03.xlsx,50-60,T2 50-70,up-jump,50.0,10.000020000000001,65.0,1200.0,50.0,10.0,95.0,60.0,0.07440225748418416,0.2797923936332566,1.0,3.851367973431823e-07,0.0,30.0,1.000002,20.0,False,False,False,4372,True,False,True,False,15.0,5.0,1.8750014428642676,2.0229588145738893,1.7716863913033478,90
kovacs_eig_03_002,ps-kovacs-03.xlsx,50-60,T2 75-90,up-jump,50.0,10.000020000000001,75.0,10.000020000000001,60.0,100.0,95.0,10.0,0.3964813915540538,0.5195091888090679,0.7004405953604875,0.0,10.0,20.0,9.999980000039999,1.000002,False,False,False,3488,True,False,True,True,30.0,5.0,1.9542425094393248,0.4771212547196624,0.44201851969429207,90
kovacs_eig_03_003,ps-kovacs-03.xlsx,65-75,T2 50-70,isothermal,65.0,10.000020000000001,65.0,1800.0,75.0,100.0,100.0,300.0,0.09753433818710572,0.26994995422344864,1.0,0.0,10.0,35.0,9.999980000039999,6.0,False,False,False,1959,True,False,False,True,30.0,5.0,1.4771212547196624,0.7781512503836434,0.7585948936922041,90
kovacs_eig_03_004,ps-kovacs-03.xlsx,80-90,T2 95-100,up-jump,85.0,10.000020000000001,100.0,1200.0,70.0,300.0,100.0,900.0,-0.004233812447114571,0.17749222558068087,1.0,0.0,15.0,0.0,29.999940000119995,1.3333333333333333,False,False,False,51,True,True,False,True,25.0,0.0,1.9613268739044007,0.7781512503836434,31.841428849735,90
kovacs_eig_04_001,ps-kovacs-04.xlsx,65-75,T2 95-100,up-jump,75.0,10.000020000000001,100.0,10.000020000000001,50.0,60.0,100.0,30.0,0.0845805729013504,0.2897696634023562,0.9869264594096749,0.0,25.0,0.0,5.999988000024,2.999994000012,False,False,False,84,False,True,True,True,10.0,5.0,2.0791812460476247,1.0,1.3732398662760317,90
kovacs_eig_04_002,ps-kovacs-04.xlsx,50-60,T2 50-70,up-jump,50.0,100.0002,70.0,60.0,60.0,100.0,95.0,10.0,0.26754998636889255,0.3905777836239067,0.7004405953604875,0.0,10.0,25.0,1.000002,6.0,False,False,False,3540,True,False,True,False,30.0,5.0,1.9542425094393248,0.4771212547196624,0.6550257025220767,90
kovacs_eig_04_003,ps-kovacs-04.xlsx,65-75,T2 75-90,up-jump,65.0,10.000020000000001,85.0,600.0,75.0,300.0,100.0,300.0,0.17622996517141326,0.32288452938509477,1.0,0.0,10.0,15.0,29.999940000119995,2.0,False,False,False,2276,True,False,False,True,30.0,5.0,0.7781512503836434,0.7781512503836434,0.6398787940642334,90
kovacs_eig_04_004,ps-kovacs-04.xlsx,50-60,T2 50-70,up-jump,50.0,10.000020000000001,70.0,300.0,60.0,100.0,95.0,10.0,0.26233372572371677,0.38536152297873094,0.7004405953604875,0.0,10.0,25.0,9.999980000039999,30.0,False,False,False,3564,True,False,True,False,30.0,5.0,1.9542425094393248,0.4771212547196624,0.6680502756463229,90
hs_02_001,ps-hs-02.xlsx,50-60,T2 75-90,up-jump,50.0,10.000020000000001,80.0,1800.0,80.0,100.0,100.0,300.0,0.0777852036654007,0.24586283321954147,1.0,0.0,30.0,20.0,9.999980000039999,6.0,False,False,False,2671,False,False,False,True,25.0,5.0,1.255272505103306,0.7781512503836434,1.128066164815627,90
hs_02_002,ps-hs-02.xlsx,50-60,T2 95-100,up-jump,50.0,10.000020000000001,100.0,1800.0,50.0,10.0,100.0,300.0,-0.06599314531376313,0.09545102346193203,0.6763291255132264,3.851367973431823e-07,0.0,0.0,1.000002,6.0,False,True,True,3,True,True,True,True,10.0,5.0,1.4771212547196626,1.4771212547196624,3.3791277491476754,90
hs_02_003,ps-hs-02.xlsx,65-75,T2 95-100,up-jump,65.0,10.000020000000001,100.0,1200.0,55.0,100.0,95.0,10.0,0.3781791990760819,0.5222103676955019,0.7591922401489748,0.0,10.0,5.0,9.999980000039999,120.0,False,False,False,565,True,True,True,False,30.0,5.0,1.7781512503836434,0.4771212547196624,0.4686038468545279,90
kovacs_80_to_90_001,pskovacs.xlsx,80-90,T2 75-90,up-jump,80.0,49.98,90.0,0.1002,60.0,100.0,95.0,10.0,1.3109757325551734,1.4340035298101874,0.7004405953604875,0.0,20.0,5.0,2.0008003201280515,99.8003992015968,False,False,False,,True,False,True,False,30.0,5.0,1.9542425094393248,0.4771212547196624,0.13618458903687725,90
kovacs_80_to_90_002,pskovacs.xlsx,80-90,T2 75-90,up-jump,80.0,49.98,90.0,0.4998,60.0,100.0,95.0,10.0,0.9989946201594013,1.1220224174144156,0.7004405953604875,0.0,20.0,5.0,2.0008003201280515,20.008003201280513,False,False,False,,True,False,True,False,30.0,5.0,1.9542425094393248,0.4771212547196624,0.17871436719735118,90
kovacs_80_to_90_003,pskovacs.xlsx,80-90,T2 75-90,up-jump,80.0,49.98,90.0,0.7979999999999999,60.0,100.0,95.0,10.0,1.0408054451167552,1.1638332423717694,0.7004405953604875,0.0,20.0,5.0,2.0008003201280515,12.531328320802006,False,False,False,,True,False,True,False,30.0,5.0,1.9542425094393248,0.4771212547196624,0.17153512427610138,90
kovacs_80_to_90_004,pskovacs.xlsx,80-90,T2 75-90,up-jump,80.0,49.98,90.0,1.0002,60.0,100.0,95.0,10.0,1.012725687364307,1.135753484619321,0.7004405953604875,0.0,20.0,5.0,2.0008003201280515,9.998000399920016,False,False,False,,True,False,True,False,30.0,5.0,1.9542425094393248,0.4771212547196624,0.1762912638663238,90
kovacs_80_to_90_005,pskovacs.xlsx,80-90,T2 75-90,up-jump,80.0,49.98,90.0,4.998,60.0,100.0,95.0,10.0,0.8886835360590921,1.0117113333141061,0.7004405953604875,0.0,20.0,5.0,2.0008003201280515,2.000800320128051,False,False,False,11,True,False,True,False,30.0,5.0,1.9542425094393248,0.4771212547196624,0.20089793962771682,90
kovacs_80_to_90_006,pskovacs.xlsx,80-90,T2 75-90,up-jump,80.0,49.98,90.0,10.020000000000001,60.0,100.0,95.0,10.0,0.7791144640962627,0.9021422613512768,0.7004405953604875,0.0,20.0,5.0,2.0008003201280515,1.0020000000000002,False,False,False,11,True,False,True,True,30.0,5.0,1.9542425094393248,0.4771212547196624,0.22915078541435807,90
kovacs_80_to_90_007,pskovacs.xlsx,80-90,T2 75-90,up-jump,80.0,49.98,90.0,49.98,60.0,100.0,95.0,10.0,0.44624730157095005,0.5692750988259642,0.7004405953604875,0.0,20.0,5.0,2.0008003201280515,4.997999999999999,False,False,False,72,True,False,True,False,30.0,5.0,1.9542425094393248,0.4771212547196624,0.4000801590213304,90
kovacs_80_to_90_008,pskovacs.xlsx,80-90,T2 75-90,up-jump,80.0,49.98,90.0,100.02,60.0,100.0,95.0,10.0,0.2472074501212706,0.37023524737628477,0.7004405953604875,0.0,20.0,5.0,2.0008003201280515,10.001999999999999,False,False,False,154,True,False,True,False,30.0,5.0,1.9542425094393248,0.4771212547196624,0.72220595005435,90
kovacs_80_to_90_009,pskovacs.xlsx,80-90,T2 75-90,up-jump,80.0,49.98,90.0,499.98,80.0,100.0,100.0,300.0,0.011576886499943151,0.17965451605408392,1.0,0.0,0.0,10.0,2.0008003201280515,1.6666,False,False,False,143,True,False,True,True,30.0,5.0,1.6020599913279623,1.255272505103306,6.84410139196168,90
kovacs_80_to_90_010,pskovacs.xlsx,80-90,T2 75-90,up-jump,80.0,49.98,90.0,1000.0200000000001,85.0,1800.0,95.0,1800.0,0.5935530095156275,0.65051115253467,0.9833049357968594,0.0,5.0,5.0,36.014405762304925,1.7999640007199855,False,False,False,527,True,False,False,True,25.0,5.0,0.7781512503836434,0.7781512503836434,0.31210715094033975,90
kovacs_80_to_90_011,pskovacs.xlsx,80-90,T2 75-90,up-jump,80.0,499.98,90.0,0.1002,60.0,300.0,95.0,10.0,-0.007852873707427183,0.14335790750594354,0.7767438266313451,0.0,20.0,5.0,1.6666,99.8003992015968,False,False,False,,False,False,True,False,22.749999999999986,5.0,2.0791812460476247,0.7781512503836436,14.50305091319292,90
kovacs_80_to_90_012,pskovacs.xlsx,80-90,T2 75-90,up-jump,80.0,499.98,90.0,0.4998,65.0,900.0,95.0,10.0,0.058198542199213416,0.18770262449939185,0.7207262181560391,0.0,15.0,5.0,1.8000720028801152,20.008003201280513,False,False,False,,False,False,True,False,20.0,5.0,1.255272505103306,1.0,1.2911426937632813,90
kovacs_80_to_90_013,pskovacs.xlsx,80-90,T2 75-90,up-jump,80.0,499.98,90.0,0.7979999999999999,65.0,900.0,95.0,10.0,0.04843884787531219,0.1779429301754906,0.7207262181560391,0.0,15.0,5.0,1.8000720028801152,12.531328320802006,False,False,False,,False,False,True,False,20.0,5.0,1.4771212547196624,0.7781512503836436,2.268391410944927,90
kovacs_80_to_90_014,pskovacs.xlsx,80-90,T2 75-90,up-jump,80.0,499.98,90.0,1.0002,70.0,1200.0,100.0,30.0,-0.052023971490794074,0.11444174450528419,0.9948592374729649,0.0,10.0,10.0,2.4000960038401535,29.99400119976005,False,False,False,,False,False,True,False,20.0,5.0,1.0405679404794577,1.0,1.8790116863512756,90
kovacs_80_to_90_015,pskovacs.xlsx,80-90,T2 75-90,up-jump,80.0,499.98,90.0,4.998,70.0,900.0,100.0,30.0,-0.040006170547288666,0.12675494377935434,0.9831264436224253,0.0,10.0,10.0,1.8000720028801152,6.002400960384153,False,False,False,154,False,False,True,False,20.0,5.0,0.7781512503836434,1.0,2.262328986161961,90
kovacs_80_to_90_016,pskovacs.xlsx,80-90,T2 75-90,up-jump,80.0,499.98,90.0,10.020000000000001,70.0,1200.0,100.0,30.0,-0.02970834476320261,0.13675737123287562,0.9948592374729649,0.0,10.0,10.0,2.4000960038401535,2.994011976047904,False,False,False,348,True,False,True,True,35.0,5.0,1.0405679404794577,1.0,2.8482042823377007,90
kovacs_80_to_90_017,pskovacs.xlsx,80-90,T2 75-90,up-jump,80.0,499.98,90.0,49.98,55.0,900.0,100.0,30.0,0.00010214590240975596,0.19477853348924,0.9394108247490303,0.0,25.0,10.0,1.8000720028801152,1.666,False,False,False,87,True,False,True,True,40.0,5.0,1.255272505103306,1.4771212547196626,738.9718922971351,90
kovacs_80_to_90_018,pskovacs.xlsx,80-90,T2 75-90,up-jump,80.0,499.98,90.0,100.02,50.0,900.0,100.0,30.0,0.016227849806869366,0.20460780081746277,0.8619017231132239,0.0,30.0,10.0,1.8000720028801152,3.334,False,False,False,41,True,False,True,True,40.0,5.0,1.4771212547196624,1.0000000000000002,4.645584114064396,90
kovacs_80_to_90_019,pskovacs.xlsx,80-90,T2 75-90,up-jump,80.0,499.98,90.0,499.98,85.0,1800.0,95.0,1800.0,0.29303482579233153,0.349992968811374,0.9833049357968594,0.0,5.0,5.0,3.6001440057602303,3.6001440057602303,False,True,True,4,True,False,True,True,35.0,5.0,0.7781512503836434,0.7781512503836434,0.6748657182588651,90
