T1_K,T2_K,actual_t1_s,actual_t2_s,loss,panel,pred_t2_s,source,t2_factor_error,t2_log10_abs_error,targets,top1_near_factor3,variant
348.0,383.0,0.1,0.1,0.36594632228620494,a,0.1,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,0.2,0.1,0.3166556651215741,a,0.1,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,0.5,0.1,0.3239992658946923,a,0.1,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,1.0,0.1,0.25612320599193794,a,0.1,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,2.0,0.1,0.2799864865226213,a,0.1,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,5.0,0.1,0.22915544391812426,a,0.1,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,10.0,0.1,0.2534457241380552,a,0.1,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,20.0,0.1,0.16856282938103992,a,0.1,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,50.0,0.1,0.1848650424924353,a,0.1,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,100.0,0.1,0.04029947451722552,a,0.5,paper,5.0,0.6989700043360189,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
348.0,383.0,0.1,0.2,0.19679179141462247,a,0.1,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,0.2,0.2,0.20072740676314252,a,0.1,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,0.5,0.2,0.1333613260770551,a,0.1,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,1.0,0.2,0.14353527199859065,a,0.1,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,2.0,0.2,0.13126601478958322,a,0.1,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,5.0,0.2,0.18891891469393565,a,0.1,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,10.0,0.2,0.15367689659431816,a,0.1,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,20.0,0.2,0.16233669632230974,a,0.1,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,50.0,0.2,0.046683012117122655,a,0.1,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,100.0,0.2,0.062420786049523475,a,0.1,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,0.1,0.5,0.09974855417108625,a,0.1,paper,5.0,0.6989700043360187,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
348.0,383.0,0.2,0.5,0.10450223051530219,a,0.1,paper,5.0,0.6989700043360187,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
348.0,383.0,0.5,0.5,0.06877540808285976,a,0.2,paper,2.5,0.3979400086720376,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,1.0,0.5,0.06967063689686717,a,0.1,paper,5.0,0.6989700043360187,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
348.0,383.0,2.0,0.5,0.07912302328059397,a,0.1,paper,5.0,0.6989700043360187,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
348.0,383.0,5.0,0.5,0.05310950188230745,a,0.1,paper,5.0,0.6989700043360187,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
348.0,383.0,10.0,0.5,0.07761433393748947,a,0.1,paper,5.0,0.6989700043360187,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
348.0,383.0,20.0,0.5,0.08625971188077389,a,0.1,paper,5.0,0.6989700043360187,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
348.0,383.0,50.0,0.5,0.03942994126692471,a,0.2,paper,2.5,0.3979400086720376,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,100.0,0.5,0.04330990506896361,a,0.1,paper,5.0,0.6989700043360187,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
348.0,383.0,0.1,1.0,0.06951134350459091,a,2.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,0.2,1.0,0.06540224940297343,a,2.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,0.5,1.0,0.0588714277137762,a,2.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,1.0,1.0,0.05029755370256618,a,2.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,2.0,1.0,0.058810827068590386,a,2.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,5.0,1.0,0.0426321146132925,a,2.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,10.0,1.0,0.026670973402408142,a,2.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,20.0,1.0,0.03087149580016465,a,2.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,50.0,1.0,0.03968614317967095,a,2.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,100.0,1.0,0.04963118300432044,a,2.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,0.1,2.0,0.2405471156213943,a,2.0,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,0.2,2.0,0.23471186224081064,a,2.0,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,0.5,2.0,0.22717843206746452,a,2.0,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,1.0,2.0,0.29030746623424275,a,2.0,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,2.0,2.0,0.2665761817106698,a,2.0,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,5.0,2.0,0.1958073524392579,a,2.0,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
