T1_C,T2_C,actual_t1_s,actual_t2_s,loss,mean_uncertainty,pred_t2_s,source,t1_group,t2_factor_error,t2_log10_abs_error,targets,top1_near_factor3,top3_near_factor3,top5_near_factor3,variant
80.0,90.0,499.98,0.1002,0.033799323492945794,0.024680278463909418,0.1002,ps_80_90,500s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g",True,True,True,enthalpy_only
80.0,90.0,499.98,0.4998,0.028851115100381925,0.022843320498674307,0.1002,ps_80_90,500s,4.9880239520958085,0.6979285302592043,"delta_h_total_J_g,peak_area_J_g",False,True,True,enthalpy_only
80.0,90.0,499.98,0.7979999999999999,0.17286111728994075,0.01654182312240042,0.1002,ps_80_90,500s,7.964071856287425,0.9011351698195025,"delta_h_total_J_g,peak_area_J_g",False,True,True,enthalpy_only
80.0,90.0,499.98,1.0002,0.04280299313562844,0.06073535291407882,4.998,ps_80_90,500s,4.997000599880025,0.6987094015787824,"delta_h_total_J_g,peak_area_J_g",False,True,True,enthalpy_only
80.0,90.0,499.98,4.998,0.055933500455596676,0.036919670099875936,1.0002,ps_80_90,500s,4.997000599880025,0.6987094015787824,"delta_h_total_J_g,peak_area_J_g",False,False,True,enthalpy_only
80.0,90.0,499.98,10.020000000000001,0.031739797909967844,0.09380085134478687,10.020000000000001,ps_80_90,500s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g",True,True,True,enthalpy_only
80.0,90.0,499.98,49.98,0.23958326137231098,0.08297003180972265,10.020000000000001,ps_80_90,500s,4.988023952095808,0.6979285302592042,"delta_h_total_J_g,peak_area_J_g",False,True,True,enthalpy_only
80.0,90.0,499.98,100.02,0.18030112254008285,0.17707797573481648,49.98,ps_80_90,500s,2.001200480192077,0.30129059842121775,"delta_h_total_J_g,peak_area_J_g",True,True,True,enthalpy_only
80.0,90.0,499.98,499.98,0.22748595619988093,0.25245034588073545,499.98,ps_80_90,500s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g",True,True,True,enthalpy_only
80.0,90.0,499.98,1000.0200000000001,1.5142404736995574,0.13700577032642247,1000.0200000000001,ps_80_90,500s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g",True,True,True,enthalpy_only
80.0,90.0,49.98,0.1002,0.13079421374130118,0.019575384018623392,0.1002,ps_80_90,50s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g",True,True,True,enthalpy_only
80.0,90.0,49.98,0.4998,0.09195413125982703,0.03892526826397471,0.7979999999999999,ps_80_90,50s,1.5966386554621848,0.20320663956029816,"delta_h_total_J_g,peak_area_J_g",True,True,True,enthalpy_only
80.0,90.0,49.98,0.7979999999999999,0.03912535882200483,0.029781827880537882,0.1002,ps_80_90,50s,7.964071856287425,0.9011351698195025,"delta_h_total_J_g,peak_area_J_g",False,True,True,enthalpy_only
80.0,90.0,49.98,1.0002,0.03215112873902957,0.04660624921992478,1.0002,ps_80_90,50s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g",True,True,True,enthalpy_only
80.0,90.0,49.98,4.998,0.08796608813624063,0.09280219909021806,4.998,ps_80_90,50s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g",True,True,True,enthalpy_only
80.0,90.0,49.98,10.020000000000001,0.05563996163611794,0.1310246409892718,10.020000000000001,ps_80_90,50s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g",True,True,True,enthalpy_only
80.0,90.0,49.98,49.98,0.2949966362632521,0.1156832228733927,10.020000000000001,ps_80_90,50s,4.988023952095808,0.6979285302592042,"delta_h_total_J_g,peak_area_J_g",False,True,True,enthalpy_only
80.0,90.0,49.98,100.02,0.04110463203945132,0.2429624623054214,49.98,ps_80_90,50s,2.001200480192077,0.30129059842121775,"delta_h_total_J_g,peak_area_J_g",True,True,True,enthalpy_only
80.0,90.0,49.98,499.98,0.15463453661746857,0.3401819830298981,499.98,ps_80_90,50s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g",True,True,True,enthalpy_only
80.0,90.0,49.98,1000.0200000000001,1.4843435393600033,0.17271078784633678,1000.0200000000001,ps_80_90,50s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g",True,True,True,enthalpy_only
90.0,80.0,499.98,0.1002,0.14143302421003107,0.047839314328451454,4.998,ps_80_90,500s,49.880239520958085,1.6979285302592044,"delta_h_total_J_g,peak_area_J_g",False,False,True,enthalpy_only
90.0,80.0,499.98,0.4998,0.2687034030772031,0.026584580127943392,0.1002,ps_80_90,500s,4.9880239520958085,0.6979285302592043,"delta_h_total_J_g,peak_area_J_g",False,True,True,enthalpy_only
90.0,80.0,499.98,0.7979999999999999,0.38643272230405057,0.02262834563794716,0.1002,ps_80_90,500s,7.964071856287425,0.9011351698195025,"delta_h_total_J_g,peak_area_J_g",False,True,True,enthalpy_only
90.0,80.0,499.98,1.0002,0.10725642681622448,0.05701718220379358,4.998,ps_80_90,500s,4.997000599880025,0.6987094015787824,"delta_h_total_J_g,peak_area_J_g",False,True,True,enthalpy_only
90.0,80.0,499.98,4.998,0.10087055752477476,0.06152893562339547,4.998,ps_80_90,500s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g",True,True,True,enthalpy_only
90.0,80.0,499.98,10.020000000000001,0.10245981948901164,0.07168660331162235,10.020000000000001,ps_80_90,500s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g",True,True,True,enthalpy_only
90.0,80.0,499.98,49.98,0.25678171711893194,0.0978271368197143,49.98,ps_80_90,500s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g",True,True,True,enthalpy_only
90.0,80.0,499.98,100.02,0.14195077541338208,0.11024496618281696,100.02,ps_80_90,500s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g",True,True,True,enthalpy_only
90.0,80.0,499.98,499.98,0.18723059868853148,0.11997753269931853,499.98,ps_80_90,500s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g",True,True,True,enthalpy_only
90.0,80.0,499.98,1000.0200000000001,1.2831980898804116,0.05229931920258314,1000.0200000000001,ps_80_90,500s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g",True,True,True,enthalpy_only
90.0,80.0,49.98,0.1002,0.03477376000142612,0.041808238308302416,0.7979999999999999,ps_80_90,50s,7.964071856287425,0.9011351698195025,"delta_h_total_J_g,peak_area_J_g",False,False,True,enthalpy_only
90.0,80.0,49.98,0.4998,0.18285412335890455,0.026449891014240542,0.1002,ps_80_90,50s,4.9880239520958085,0.6979285302592043,"delta_h_total_J_g,peak_area_J_g",False,True,True,enthalpy_only
90.0,80.0,49.98,0.7979999999999999,0.24064039477282612,0.02460449532540821,0.1002,ps_80_90,50s,7.964071856287425,0.9011351698195025,"delta_h_total_J_g,peak_area_J_g",False,True,True,enthalpy_only
90.0,80.0,49.98,1.0002,0.16606956690552568,0.05639123175777295,4.998,ps_80_90,50s,4.997000599880025,0.6987094015787824,"delta_h_total_J_g,peak_area_J_g",False,True,True,enthalpy_only
90.0,80.0,49.98,4.998,0.23830309420778012,0.11921713608882425,49.98,ps_80_90,50s,9.999999999999998,0.9999999999999999,"delta_h_total_J_g,peak_area_J_g",False,True,True,enthalpy_only
90.0,80.0,49.98,10.020000000000001,0.05136870578834053,0.04499081850685655,1.0002,ps_80_90,50s,10.017996400719857,1.000780871319578,"delta_h_total_J_g,peak_area_J_g",False,False,True,enthalpy_only
90.0,80.0,49.98,49.98,0.2038527867837042,0.06812584712533448,10.020000000000001,ps_80_90,50s,4.988023952095808,0.6979285302592042,"delta_h_total_J_g,peak_area_J_g",False,True,True,enthalpy_only
90.0,80.0,49.98,100.02,0.08944090048282749,0.1273577757330773,49.98,ps_80_90,50s,2.001200480192077,0.30129059842121775,"delta_h_total_J_g,peak_area_J_g",True,True,True,enthalpy_only
90.0,80.0,49.98,499.98,0.14735436129526525,0.16099924783093666,1000.0200000000001,ps_80_90,50s,2.000120004800192,0.30105605359348253,"delta_h_total_J_g,peak_area_J_g",True,True,True,enthalpy_only
90.0,80.0,49.98,1000.0200000000001,1.3595226647429834,0.09789052778048363,1000.0200000000001,ps_80_90,50s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g",True,True,True,enthalpy_only
80.0,90.0,499.98,0.1002,0.03419102493991918,0.10918863024897141,0.1002,ps_80_90,500s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",True,True,True,heating_curve_full
