mode,T1_C,t1_s,T2_C,t2_s,total_anneal_time_s,rank,eig_total,eig_score,nearest_existing_distance,eig_paper_delta_h_J_g,pred_paper_delta_h_J_g,uncertainty_paper_delta_h_J_g,eig_paper_delta_h_peak_J_g,pred_paper_delta_h_peak_J_g,uncertainty_paper_delta_h_peak_J_g,eig_paper_s_star_eff_J_mol_K,pred_paper_s_star_eff_J_mol_K,uncertainty_paper_s_star_eff_J_mol_K,eig_paper_h_star_eff_kJ_mol,pred_paper_h_star_eff_kJ_mol,uncertainty_paper_h_star_eff_kJ_mol
two_step,100,10,100,10,20,1,2.5412864506991086,2.7984348532999213,2.1429033550067715,0.5289857200657133,0.7623961003012535,0.2976893403686281,0.5283368587169578,1.688293355882271,0.2283267556306216,0.9287206208829258,-746.3432738053878,440.6029919184654,0.9262342190126214,-164.607658757988,166.35752407168943
two_step,100,30,100,10,40,2,2.5061005896157664,2.75131828497875,2.043480794691527,0.5467022151629265,0.7988293445850723,0.3058021800193068,0.545055666631015,1.7168674379481623,0.23420144106519025,0.8851546103347132,-716.6508246336012,418.2537303685164,0.8827737744425675,-153.37334463753172,157.93127902181047
two_step,100,10,100,30,40,3,2.477253659830356,2.7317343256778797,2.1206722153960325,0.5489736558384445,0.7835342613901924,0.30684741469519583,0.5493905753531899,1.7051691444129962,0.23573247680479328,0.862984173097328,-723.4018850435992,407.1752581184694,0.8606276127010737,-155.9351634002374,153.74847073666422
two_step,100,60,100,10,70,4,2.466558217817873,2.710513398573324,2.0329598396287576,0.5545767837524676,0.8261822388576061,0.30943086443951495,0.5522796858070701,1.738081011197575,0.23675471678611984,0.8509646802284144,-695.1064562848147,401.24930298514977,0.8486625050945046,-145.22157598818944,151.5186229294065
two_step,100,10,100,60,70,5,2.4341389992318185,2.6882377428300552,2.1174895299853076,0.5627557650860452,0.8009624039613035,0.31321522369919647,0.5639954452616007,1.718914738920411,0.24091548193902304,0.8182463156539904,-707.656228513777,385.3944274683503,0.815988420451225,-149.98110869761385,145.5332657482565
two_step,100,30,100,30,60,6,2.4378725021532155,2.682907591554455,2.041959078343662,0.557979687481171,0.8129051621584771,0.3110034346387133,0.5569482218029876,1.727989670414174,0.23840971968808858,0.827973567688578,-699.6417062853683,390.06665463351555,0.8257071733977431,-146.94477726094942,147.29797145906073
two_step,100,100,100,10,110,7,2.4271879410779285,2.673426891312833,2.051991251957538,0.5576474330122547,0.8475724876708413,0.3108497707332183,0.5548413594008995,1.7545867999683675,0.2376623478777617,0.8228071189550903,-678.4625244506047,387.58078137112324,0.8205668168758775,-138.92392278928506,146.36297569011015
two_step,100,10,100,100,110,8,2.4004426147784446,2.6542495097740972,2.115057458297107,0.5726672117645453,0.8153428335519911,0.3178228235005674,0.5745720732114166,1.730193465327452,0.24469356054498304,0.7843411509435059,-695.8134009108556,369.37404296602443,0.7821630113095976,-145.50215333067158,139.49092126258617
two_step,100,60,100,30,90,9,2.3993595081784727,2.6433305524997914,2.0330920360109888,0.5622133470706258,0.8362238495395792,0.3129637562812648,0.5603459681453169,1.7459812996576194,0.23961670899318793,0.799098158051806,-681.5435254972172,376.29694972950307,0.7969020831513565,-140.0965105335716,142.10507794394465
two_step,100,30,100,60,90,10,2.391748073811728,2.6365534043830636,2.0400444214277953,0.5666937328363312,0.8262638045117519,0.31504301653854777,0.5662283745473421,1.7384398953319125,0.24171135292510204,0.787854939588847,-687.0109317251711,371.0155963503671,0.7856775184462209,-142.16913688063207,140.11167820654512
two_step,100,100,100,30,130,11,2.361946739783844,2.6078601632580236,2.049278528951498,0.5636513094809898,0.855370742849154,0.3136305572841289,0.5611923047328986,1.7607029126681402,0.23991768378988113,0.7742586409709378,-666.9477665410461,364.6872289080148,0.7721202659915064,-134.57347480974357,137.7259005882762
two_step,100,30,100,100,130,12,2.3556900184341947,2.60052025864047,2.0402520017189603,0.5734550532411039,0.8382587993076646,0.3181901106353517,0.5734989084781503,1.747783313362926,0.2443092477408785,0.7565117843407556,-676.9136969231439,356.5208118697482,0.75440828655292,-138.35061948410473,134.64422987195022
two_step,100,60,100,60,120,13,2.353728203420161,2.597724289173961,2.0333007146150015,0.5681300067577476,0.8463245496099016,0.31571059692418946,0.5666805023180577,1.7538514443326454,0.24187261573249771,0.7628810717327745,-671.3595899363778,359.43965932205333,0.7607660461976697,-136.2465954729905,135.74587335171702
two_step,100,10,100,300,310,14,2.3218731853477284,2.576689852670831,2.123472227692522,0.591540664166975,0.8492269224253473,0.326664809122061,0.5950176871130946,1.7566343944477008,0.2520584460674534,0.7105673478829448,-670.5716974740938,335.8511517236431,0.7085761947016288,-135.95404812883206,126.84730880204121
two_step,100,100,100,60,160,15,2.3178508534207625,2.563542058674795,2.047426710450271,0.5680684040979127,0.8632292788222952,0.31568195363327095,0.5659423772975984,1.766809121959347,0.24160936451989073,0.7409313911065348,-658.4805453673963,349.436600362447,0.7388686989250294,-131.37302771959418,131.97254998260559
two_step,100,60,100,100,160,16,2.3178061456687367,2.5616936435084847,2.032395815331235,0.5729111257515623,0.856000212373381,0.31793651827716013,0.5718631472110851,1.7613609852309942,0.24372388636146033,0.7341684402876714,-662.9076983271082,346.38581559284756,0.7321214005949401,-133.05063857631876,130.82160818701925
two_step,100,300,100,10,310,17,2.3135020118543963,2.5591147608470584,2.046772908272183,0.5553998127639563,0.8941936270189238,0.30981095740090153,0.5514132778759263,1.7903884723816366,0.23644800402634505,0.7552313323004187,-642.4385169993482,355.9356317838714,0.7531298192177233,-125.29338736113759,134.42330891998202
two_step,100,100,100,100,200,18,2.283054060014118,2.5289550678901116,2.0491750656332792,0.5716400616048894,0.8710326000182365,0.317344203760333,0.5698426473964738,1.7728499825979636,0.2430015484074826,0.7144818572243004,-651.3624467477404,337.5866121345553,0.7124823315416426,-128.68174433666343,127.50219902928711
two_step,100,10,100,600,610,19,2.2681511931292917,2.521864387473686,2.114276619536618,0.60103769825268,0.8718841078474229,0.3311491625810641,0.6055987346323453,1.774250379213216,0.255903087739961,0.6643795047319573,-655.2123345825985,315.71396390126455,0.6625139455733757,-130.14310784745035,119.25213111033429
two_step,100,30,100,300,330,20,2.27171425431981,2.5174297867310167,2.0476294367600567,0.5871013558744911,0.8686700387314921,0.32457680902657093,0.588476444604768,1.7713817092563557,0.24969313421148556,0.6860478864802376,-654.0932536954422,325.084509676749,0.6841226808204514,-129.71867031272103,122.78647124571394
two_step,95,10,95,10,20,21,2.288263542356664,2.5115551883253575,1.8607637164057784,0.5300023795466713,0.761279723440183,0.2981530382292239,0.5294061160491732,1.6866492207828916,0.2287010734057161,0.7691313542482696,-717.1299439745046,362.31705056015534,0.7669374542027549,-153.58141883620883,136.82006460436838
two_step,100,300,100,30,330,22,2.253506674784325,2.4991938269036256,2.047392934327504,0.5598707929874447,0.8992556093417662,0.3118785488706653,0.556169925233927,1.7943196613326453,0.23813353936227943,0.7119178858496078,-633.9176208696496,336.44937553260746,0.7099145598540839,-122.07489425297963,127.07149845503419
two_step,100,10,100,900,910,23,2.23538799055786,2.4891286357112055,2.1145053762778807,0.6056124594453026,0.8853914679113764,0.333317945894848,0.6108403102106299,1.7847376240454305,0.2578162839083376,0.6377297104521769,-646.5132290610596,304.36543577596797,0.6359393156752327,-126.85164798426938,114.97166172822492
two_step,100,60,100,300,360,24,2.2331669241980063,2.4777193214280766,2.0379366435839175,0.5831150496944107,0.8825573390927299,0.32270623757765665,0.5832112992548782,1.7819040730354416,0.24779548654338804,0.6677148310184498,-642.6788545712724,317.1477825798236,0.6658358880424466,-125.39939977538691,119.79226610591388
two_step,95,30,95,10,40,25,2.2646887526122708,2.4741298572655634,1.7453425387774404,0.5482264137547773,0.7977983211806002,0.3065034304643423,0.5466187679605098,1.7155584411532006,0.2347531290926473,0.7321888674289881,-689.8890318772337,345.4955619726594,0.7301155961922411,-143.2721347883705,130.48050924028735
two_step,100,600,100,10,610,26,2.224526316726293,2.4685096289405446,2.033194268452095,0.5483816062683274,0.9223504143309581,0.3065748609898625,0.5436182518230002,1.8119203538876447,0.23369448898270312,0.7088352219478092,-620.7204002302101,335.08470828798784,0.7068228513458973,-117.0760077690843,126.5539146457855
two_step,100,10,100,1200,1210,27,2.2116028876506943,2.465347220481913,2.114536106926824,0.6084080758265961,0.8950440969598221,0.3346460914816874,0.6141238464906279,1.792227280177856,0.2590177610122225,0.6190376450485947,-640.4824828269049,296.51590458280475,0.6173010616182435,-124.56968266239618,112.0108808151109
two_step,100,300,100,60,360,28,2.2142529040214485,2.4596389560567338,2.0448837669607096,0.5626944370860945,0.903766376486876,0.31318678821202306,0.5592295184946038,1.7977979379437439,0.23921987743558357,0.6836732211357727,-628.2173919680313,324.05110021060295,0.6817379644151651,-119.92109601363833,122.39397995046826
two_step,100,30,100,600,630,29,2.2145912624318145,2.459422181600032,2.0402576597351443,0.594077776325084,0.8898595111345939,0.3278604464703796,0.5964358041222967,1.7877803833448014,0.252572381960438,0.6409503011659123,-639.6930431893186,305.72690277027687,0.6391468013146295,-124.27071209497271,115.48456192504521
two_step,95,10,95,30,40,30,2.237218761982666,2.4574329020587693,1.835117833967531,0.5501615161333666,0.7826399243800233,0.30739449687002307,0.5506770674402047,1.703906976328939,0.2361874869035544,0.7112572688493365,-698.7756370562611,336.15668488486773,0.7092179541620318,-146.64014992482853,126.954784496954
two_step,100,100,100,300,400,31,2.2001212576895366,2.4461454626192674,2.0502017077477577,0.5795002642542627,0.89393061055228,0.32101352881104667,0.5786980312942283,1.7905225150339226,0.24617318029149582,0.6521224934397406,-633.5805570627145,310.4708996901552,0.6502812092365667,-121.95649340005853,117.27292988231216
two_step,95,60,95,10,70,32,2.233236337305871,2.4411978443611035,1.7330125587936032,0.5563071476425909,0.8252819363688269,0.310230169269664,0.5540493439070169,1.7369746695611674,0.2373816016788864,0.7027925248197747,-670.2014146258992,332.4179396047196,0.7008072823755545,-135.82100284928774,125.54994910984914
two_step,100,10,100,1800,1810,33,2.177395259215716,2.4321243241821886,2.122742208053936,0.6117126917387697,0.9087036033952046,0.3362188303340957,0.6181372462644984,1.8028210336447557,0.26048944661989504,0.5930460080884526,-632.1921115438817,285.7435674057988,0.5913856434271072,-121.43253662216966,107.94752157730126
two_step,100,300,100,100,400,34,2.183802392167313,2.4290222333332823,2.0434986763830794,0.5647883454799257,0.9082072643622929,0.31415816861574125,0.561545682721896,1.8012128067028261,0.24004339130407973,0.6618580708100038,-623.5894020238508,314.6320581635659,0.6599773841468602,-118.17192356812146,118.84046641772362
two_step,100,30,100,900,930,35,2.1799582529952213,2.4247712530161007,2.0401083335073276,0.5973786450317807,0.9026255279619362,0.3294185647653434,0.6003573476430581,1.7976499579101273,0.2539957257452185,0.6147541219766347,-631.45683795455,294.7293905774866,0.6130237034238432,-121.1544574763377,111.33602150340478
two_step,95,10,95,60,70,36,2.2040459326694752,2.423818609991888,1.8314389776867714,0.5640245546787647,0.8002200369562474,0.31380371729637835,0.5653796105935364,1.717883925975829,0.2414087230228625,0.6726139107920058,-685.8115134817447,319.2594292931881,0.6706882984544619,-141.73588056802316,120.5833215565828
two_step,100,60,100,600,660,37,2.175062841275974,2.4190584841644647,2.0332970240707575,0.5885013255094343,0.9021344246400331,0.32523472026587985,0.5895004107953516,1.7970140782403852,0.2500628307585257,0.6240439907393069,-629.3074835816615,298.6096327002274,0.6222823904746778,-120.34082457119963,112.79895830928074
two_step,95,30,95,30,60,38,2.207604754708111,2.4168320312213134,1.7435606376100217,0.5594525280522267,0.8120851625070662,0.3116849223021456,0.5584841351897308,1.7269432069819384,0.2389550648639349,0.6820121777011743,-676.735144285471,323.32920515624477,0.6800729366315176,-138.2986490624161,122.12030352531491
two_step,100,900,100,10,910,39,2.168002644822087,2.414243127859082,2.0520040253082934,0.5427601936551943,0.9379473364599114,0.30399099310582894,0.5375467281969931,1.8238214190410484,0.23155709134585425,0.680789856556861,-608.6830187623867,322.79848300783743,0.6788297971555132,-112.52158266416949,121.9161663169914
two_step,100,600,100,30,630,40,2.167678224343947,2.411674461146815,2.0333019733572333,0.5525541091382167,0.9266877263022005,0.3084974225555882,0.5480896113973793,1.8152600082304637,0.23527264586999772,0.6678537092127425,-613.3920158374603,317.2075513393116,0.665939420547696,-114.30818174590675,119.80911855582251
two_step,95,100,95,10,110,41,2.2000461209065847,2.410682012463666,1.7552990963090114,0.5594668361658794,0.8467900447253195,0.31169154524009346,0.5567051973654842,1.7536201951242303,0.23832347011844213,0.6783798863252366,-655.0045068701756,321.7533371421907,0.6764627228937898,-130.0693916726251,121.52792469661081
two_step,100,30,100,1200,1230,42,2.1549328140602744,2.3997863437742586,2.0404460809498697,0.599349360590886,0.9117772418370349,0.33035019387839687,0.6027879456136821,1.8047220585102148,0.2548795184980303,0.5963362288748838,-625.7299463249116,287.09836960010585,0.5946581559447489,-118.98751101021077,108.45732220818839
two_step,95,10,95,100,110,43,2.178411536769439,2.3978467165984565,1.8286264985751428,0.5739691205212617,0.8147136266560816,0.31842984921091017,0.5759962422851405,1.7293207480731387,0.24520391370365052,0.643696814683929,-675.9177621213463,306.89009402091176,0.641860902769867,-137.99253369785572,115.91935584034063
two_step,100,100,100,600,700,44,2.1423740797645494,2.388198496322427,2.0485368046489825,0.5837714791544036,0.9118374994891428,0.3230139849053273,0.583801748926767,1.804316375720255,0.24800802106534509,0.6101148007598721,-621.2676357421497,292.79954177111125,0.6083862638443515,-117.29851289692698,110.60625424929468
two_step,95,60,95,30,90,45,2.176365918955608,2.384346034991958,1.733167633636249,0.5638087630388737,0.8355011201777044,0.3137036007607588,0.5619963065031502,1.7450774233505204,0.2402037255455319,0.6575318705741586,-660.0231107763219,312.77979901432366,0.6556691911928214,-131.97344034159343,118.14279675431528
two_step,100,60,100,900,960,46,2.1397707058381146,2.3836741067571596,2.032528340992043,0.5910346850991838,0.9141557578437043,0.32642656468263725,0.5926191252021495,1.8062845370058498,0.2511901221675052,0.5984183423635909,-621.5328458035168,287.9570134903701,0.5967277770573858,-117.39927518936528,108.78021741196814
two_step,95,30,95,60,90,47,2.170341282194804,2.3792994312950473,1.7413179091686948,0.568140855482977,0.8255847787515066,0.31571564133506674,0.5677518527745438,1.7375641898491185,0.24225489296472597,0.6474495876466424,-666.5180316186407,308.4826530465346,0.6456111297749619,-134.43398760278865,116.52133491317751
two_step,100,1200,100,10,1210,48,2.12647816555015,2.375737181438536,2.077158465736551,0.5382726803590274,0.9485447658648694,0.30193342810414403,0.5327472311754858,1.8318971852564003,0.22987191987701638,0.6606228572135969,-600.500391946395,314.102682937193,0.6586999603059488,-109.42568216696557,118.63340147313448
two_step,100,600,100,60,660,49,2.1313940259508124,2.3753580237696945,2.033033315157352,0.5550747386247493,0.9301309992131838,0.3096608119832769,0.5508336215482452,1.8178962507682457,0.2362428774335033,0.6418527373265992,-608.764899427743,306.10888106349415,0.640004344895673,-112.5601649552277,115.62186033275925
two_step,100,30,100,1800,1830,50,2.119130716092912,2.3650291522184563,2.049153634379537,0.6015969996351053,0.9247458237967496,0.3314140092037191,0.6057105438793102,1.8147404679254302,0.25594383809521104,0.5706914600608209,-617.8474122650357,276.6035915606116,0.5690875056622996,-116.00476006341532,104.49817601916678
two_step,100,900,100,30,930,51,2.112863987685573,2.3589446347801823,2.0506720591217453,0.5468486045028783,0.9420604597813065,0.3058695075001444,0.5419528504635553,1.8269719499403996,0.23310757734018162,0.6409699230132762,-601.9024767836041,305.7352059406867,0.6391082428856477,-109.96073253953556,115.47839016406905
two_step,100,60,100,1200,1260,52,2.114278285816024,2.3582738320937713,2.033296218981227,0.5925222620689381,0.9228382680232057,0.32712719470510515,0.5945457909009204,1.812977728899496,0.25188751845378116,0.5803261585166263,-616.0916848070704,280.52922221494265,0.5786866325410807,-115.34048629859068,105.9779673403112
two_step,100,300,100,300,600,53,2.1109442773725493,2.3559817009902213,2.0419785301472673,0.5691894512868398,0.9225285640953285,0.31620335089217894,0.5666482337354152,1.8122040514357214,0.2418611050577374,0.6103146103686922,-611.6094362725053,292.8825503376799,0.6085686300691756,-113.64218700911113,110.63491504458806
two_step,95,100,95,30,130,54,2.1447960537094763,2.3550513034514267,1.7521270811829208,0.5653002174787924,0.8547387557894078,0.31439579149543406,0.5628964885997296,1.7599041602940062,0.24052412717609983,0.6362750159945336,-646.5671091755534,303.75136152291446,0.6344741685441596,-126.88049958917111,114.73770840081906
two_step,100,100,100,900,1000,55,2.1070869571270645,2.3527149739471698,2.0469001401675424,0.5857782527828002,0.9230991620214373,0.3239554887220302,0.5863626124574605,1.8129851206893137,0.24893061142879436,0.5851711069787767,-613.9621581796432,282.51103748434895,0.5835115078797279,-114.5345421669386,106.72466387489867
two_step,95,30,95,100,130,56,2.1417193555303764,2.350706687009395,1.7415610956584873,0.5748769758567458,0.8376849687966431,0.31885339457583395,0.5750053545030872,1.7470312043034,0.24484878625617149,0.6207765204045076,-658.1623991092076,297.24242217864645,0.6190197610586715,-131.27279441131145,112.28252719868169
two_step,100,600,100,100,700,57,2.103859545548821,2.347814211491327,2.032955549520883,0.5568645586649753,0.933304909783612,0.3104878036316447,0.552818818419687,1.8203214588488226,0.23694564008704802,0.6222586218441694,-605.1824654512006,297.8622495631945,0.6204615887360291,-111.20648077406321,112.51062616463805
two_step,95,60,95,60,120,58,2.1388107565170644,2.3468202468352577,1.7334124193182774,0.5696506816585899,0.8457202419517696,0.31641795809052076,0.5682661079119388,1.753080427442968,0.24243846510050698,0.6264447546051211,-651.9583766747197,299.6158876205449,0.6246727040780491,-128.92339129597633,113.17795020863156
two_step,95,10,95,300,310,59,2.1188495938376573,2.339451933228951,1.8383528282607802,0.5928315663649582,0.8488272831356952,0.3272729463297631,0.5964352126119322,1.7560541924498114,0.2525721675070918,0.5818057944424027,-654.4922098169004,281.1339074065166,0.5801727241335558,-129.88471154099406,106.20774552801112
two_step,100,100,100,1200,1300,60,2.081542894730448,2.3273241907683873,2.0481774669828257,0.5869408595463923,0.9313174382293362,0.32450141684317463,0.5879460849844348,1.8193092396092438,0.24950173373616144,0.5674648903718111,-608.8036804017283,275.2934401290732,0.5658550473777149,-112.58275557636382,104.00156032496047
