mode,T1_C,t1_s,T2_C,t2_s,total_anneal_time_s,rank,eig_score,eig_delta_h_total_J_g,pred_delta_h_total_J_g,uncertainty_delta_h_total_J_g,eig_peak_area_J_g,pred_peak_area_J_g,uncertainty_peak_area_J_g,eig_proxy_activation_enthalpy_H_star_kj_mol,pred_proxy_activation_enthalpy_H_star_kj_mol,uncertainty_proxy_activation_enthalpy_H_star_kj_mol,eig_proxy_activation_entropy_S_star_j_mol_K,pred_proxy_activation_entropy_S_star_j_mol_K,uncertainty_proxy_activation_entropy_S_star_j_mol_K
two_step,95,1800,85,10,1810,1,0.6505603513882545,0.5924330390655596,-1.3212357599895201,0.9644384780264712,0.5910954530791026,-1.6363085634688517,0.580899611282973,0.7093386424154838,-220.75185492939292,114.29522324219725,0.7093742709928723,-894.4832725862657,301.9337696679916
two_step,100,1800,80,10,1810,2,0.6477656510009686,0.5635645338954185,-1.2201793589895304,0.9030455349314908,0.5657335320488774,-1.6019183939525015,0.5483023928049042,0.7308389882367423,-195.38983238121034,119.18468224283468,0.730925549822836,-827.4675118183504,314.88073944909814
two_step,100,1200,80,10,1210,3,0.6473896795016749,0.5749365998273922,-1.2670189266054257,0.9270184850637178,0.5757983759884308,-1.6290932755902887,0.5611396995336061,0.7193832343948493,-208.79503999953482,116.56641361652572,0.7194405077960274,-862.9027395188147,307.94636139647787
two_step,100,1800,85,10,1810,4,0.6467326241397822,0.6081220527084977,-1.4559704319369111,0.9985542115446601,0.6050766581612796,-1.7298455167218456,0.5992260531038575,0.6868932174339639,-240.41171125940676,109.3017670418141,0.686838568255387,-946.4264649882332,288.6905490866754
two_step,85,1800,90,10,1810,5,0.6459064435059065,0.5788103630035324,-1.248175733108158,0.9352470424177498,0.577354938541902,-1.5905747053345891,0.5631365944816807,0.7136925926420378,-209.8913418012389,115.27689774023766,0.7137678798361542,-865.7904203851937,304.5506428841975
two_step,100,900,80,10,910,6,0.6458259693362142,0.5652455299138855,-1.2703666476622122,0.9065720205711763,0.5668438328964305,-1.6680466377435725,0.549712205052224,0.7255849539133992,-203.99840117976746,117.98012277544592,0.7256295606211414,-850.2402476824138,311.67325858792117
two_step,90,1800,90,10,1810,7,0.6435545462283256,0.6073572334267747,-1.4110170401145274,0.9968786738401824,0.6055339011183464,-1.68611358048615,0.5998297407753538,0.6806788224303892,-238.69320064299487,107.93894092288267,0.6806482279377922,-941.8915302843499,285.10471034390895
two_step,95,1200,85,10,1210,8,0.6417940237038575,0.5994291077010236,-1.3642159774053684,0.9795853138038476,0.5978691221613129,-1.6639113159436816,0.5897464827746327,0.6849440157162269,-233.04058915164748,108.87339223267347,0.6849338492368664,-926.9686538258758,287.584849540839
two_step,80,1800,95,10,1810,9,0.6411681763911755,0.5892926675003446,-1.3160062224205367,0.9576738007201699,0.5864257088742786,-1.6493079930284162,0.5748354116005475,0.6944696662501594,-223.0436492376086,110.97479142618288,0.6944846629399196,-900.5531797342709,293.1504048137889
two_step,100,900,85,10,910,10,0.6404516867625308,0.6016982018298775,-1.456237223698297,0.9845208174764302,0.595690131831418,-1.7571630112803318,0.5868940328883727,0.6822509745006744,-240.54886314882012,108.28291636792414,0.6821674388881532,-946.8089667124633,285.9826796587337
two_step,90,1200,85,10,1210,11,0.6401667774383639,0.5698425221672316,-1.2126122950536795,0.9162461698793654,0.5690134103256812,-1.5721745419839683,0.552471562998725,0.7108601039554538,-206.16553578200643,114.63777772827774,0.7109510733050892,-855.9559352602845,302.8716049659217
two_step,90,1800,85,10,1810,12,0.6398259386008179,0.5562528768571802,-1.15926430446782,0.8877755209934192,0.5551952768214766,-1.5353930431516345,0.5349990171155626,0.7238651284896623,-190.83935173888645,117.58720207997175,0.7239904722349526,-815.4397906942185,310.6839928593725
two_step,95,900,85,10,910,13,0.6376899169926339,0.5943638253769551,-1.3650382541601822,0.9686081446772471,0.591672783979568,-1.6875411808864258,0.5816513106831378,0.682376532809759,-232.38390658512517,108.3104109394672,0.6823465258042535,-925.2457225310974,286.08626393901005
single_step,85,900,,,900,14,0.6364724589324867,0.5678353303132008,-1.1922758128570559,0.9120166608322096,0.5659332706833814,-1.5475760355907506,0.5485558968750683,0.7060079318071446,-206.98251766177842,113.54713624845961,0.7061133029262202,-858.1209852320787,299.9989276448839
single_step,85,1200,,,1200,15,0.6359434280992066,0.556462877616185,-1.1523215036833019,0.8882125410954543,0.5543100736824352,-1.5241880380856754,0.5338879161611901,0.716434743605921,-195.14297611464963,115.89736104437114,0.7165660174922853,-826.8233301990819,306.22324186902483
two_step,100,1200,85,10,1210,16,0.635292137945167,0.6114866346618406,-1.4853270585031126,1.0059404507852574,0.6082046620869469,-1.7465425483939532,0.6033614071095239,0.6607892229982991,-249.34129372036037,103.63361851364873,0.6606880320335815,-970.031456571791,273.6925194230385
two_step,85,1200,90,10,1210,17,0.6350853528219663,0.5821481605193048,-1.2795713123118018,0.9423627242631123,0.5796992728685725,-1.6302236867909532,0.5661499842633064,0.6892334611010744,-220.37134070559063,109.81718516925021,0.6892605167989134,-893.5042545605442,290.0995481011161
two_step,95,900,80,10,910,18,0.6343844653157239,0.5469595395271908,-1.161286118292605,0.8685273180250589,0.5516083371024023,-1.5712027803340487,0.5305027904448886,0.7194285827720217,-191.06589100983365,116.57671919004875,0.7195414018612808,-816.0634904238891,308.00693258904226
two_step,90,900,85,10,910,19,0.6326171087571967,0.5671135300092103,-1.2267506472891299,0.9104977737919937,0.5668915395963078,-1.6102749266526897,0.5497728160479559,0.6982021476275665,-209.9417241176211,111.80366662127189,0.6982612177957023,-865.9522774260384,295.3658271624289
two_step,95,1200,80,10,1210,20,0.6325847109718437,0.5435772998471232,-1.1271153736867263,0.861566359502286,0.5449995436160479,-1.5260293078680307,0.522260785274936,0.720811564179609,-185.53116964275577,116.89123099427708,0.7209504362445943,-801.4231725243851,308.85347750678324
