mode,T1_C,t1_s,T2_C,t2_s,total_anneal_time_s,rank,eig_score,eig_delta_h_total_J_g,pred_delta_h_total_J_g,uncertainty_delta_h_total_J_g,eig_peak_area_J_g,pred_peak_area_J_g,uncertainty_peak_area_J_g,eig_activation_enthalpy_H_star_kj_mol,pred_activation_enthalpy_H_star_kj_mol,uncertainty_activation_enthalpy_H_star_kj_mol,eig_activation_entropy_S_star_j_mol_K,pred_activation_entropy_S_star_j_mol_K,uncertainty_activation_entropy_S_star_j_mol_K
single_step,90,1800,,,1800,1,0.5326004825376638,0.6201080403069998,-1.5186423016732729,1.0249807690307804,0.6190092433301564,-1.7423620512415734,0.6177454411103999,0.4462657456852367,485.8312877999669,46.90545828495132,0.44501890082826256,1067.4563990614404,125.1006356827719
two_step,90,1800,90,10,1810,2,0.5314035163009931,0.6073572334267747,-1.4110170401145274,0.9968786738401824,0.6055339011183464,-1.68611358048615,0.5998297407753538,0.45683849708254953,483.6005402549752,48.29037373297695,0.45588443357630154,1061.4314143405315,128.90559903083815
single_step,90,1200,,,1200,3,0.5313435373821366,0.6223710998449873,-1.5480084397294855,1.030005980965493,0.6215950334039068,-1.7595218005512825,0.6212109874963865,0.4414150687279355,489.1874156102102,46.27495574585458,0.439992947551717,1076.4523623043408,123.35455049609595
two_step,100,1800,85,10,1810,4,0.5310538028514067,0.6081220527084977,-1.4559704319369111,0.9985542115446601,0.6050766581612796,-1.7298455167218456,0.5992260531038575,0.45593974815324423,485.2052717720006,48.17207712282417,0.4550767523826051,1065.7828678147887,128.62133537731353
two_step,95,1800,90,10,1810,5,0.5309246342962678,0.6198407678530758,-1.551305753920328,1.024388030638528,0.6174831903726588,-1.7722797729160698,0.6157043842532384,0.4438048140971106,487.10990548866715,46.585198329835634,0.4425697648622256,1070.9138467666905,124.24867593304678
two_step,100,1200,85,10,1210,6,0.5302743699504497,0.6114866346618406,-1.4853270585031126,1.0059404507852574,0.6082046620869469,-1.7465425483939532,0.6033614071095239,0.45121926843891824,488.4883741351393,47.552493060015394,0.45018691461409316,1074.5818250033028,126.90524943464341
single_step,90,900,,,900,7,0.530072737697004,0.6233847641870112,-1.5627185028514732,1.0322605525530884,0.6228038572502991,-1.768083664420849,0.6228341625757752,0.4378180229019208,491.2156331830988,45.80937408356661,0.436284306448785,1081.8869935185826,122.07173296310563
two_step,95,1200,85,10,1210,8,0.5299664512594526,0.5994291077010236,-1.3642159774053684,0.9795853138038476,0.5978691221613129,-1.6639113159436816,0.5897464827746327,0.46171625997656474,484.6769176255443,48.934260306280045,0.4608513151989092,1064.2900823683208,130.6587508925271
two_step,85,1800,95,10,1810,9,0.5296454313440674,0.6139927837748733,-1.4796182575467398,1.0114583515849715,0.6108307731305914,-1.7337190856401814,0.6068432400337915,0.44744551632142143,486.4089226714132,47.05927061963531,0.44631265214938337,1068.990112008623,125.55152471043095
two_step,90,1200,90,10,1210,10,0.528701178454268,0.6094242879670122,-1.4372496863366115,1.0014100504254277,0.606386533938506,-1.7101810970124158,0.6009561903960956,0.4500502838778483,487.5143021299817,47.399509903157,0.44894360803370537,1071.9203267207529,126.47024807409694
two_step,95,1200,90,10,1210,11,0.5285372903366425,0.6205026553579935,-1.5678077532914816,1.025856208717814,0.6174745895807398,-1.7850774481019314,0.6156928897382515,0.438773031911382,489.82254016795366,45.93282190666318,0.43739888449645487,1078.1814078825605,122.4567651577876
two_step,95,1800,85,10,1810,12,0.5281772517855455,0.5924330390655596,-1.3212357599895201,0.9644384780264712,0.5910954530791026,-1.6363085634688517,0.580899611282973,0.46493866025972996,479.84005917014457,49.36135763573566,0.4642418547377898,1051.3229114119083,131.86051462539564
single_step,90,600,,,600,13,0.5281019222371014,0.6242733854742634,-1.5761596416298327,1.0342388866887178,0.6239207975124597,-1.775840024302592,0.6243357040181885,0.4329421416243166,493.63819548783897,45.18093477568241,0.4312713643373659,1088.3756421827334,120.3453024333852
two_step,90,1800,95,10,1810,14,0.5280540287569678,0.6231370946329473,-1.6170569774110377,1.0317094799776307,0.6203151341941747,-1.8115222224890553,0.6194945116269502,0.43509706207932036,488.44802660938745,45.45829888782444,0.43366682412142893,1074.5319504890901,121.16920635885374
two_step,100,1800,90,10,1810,15,0.5265664326153816,0.6215655366995737,-1.6546065125920124,1.0282158928794622,0.6169966468700768,-1.8425343504920189,0.6150542993095641,0.43452975818206996,488.28831762192505,45.38522209829901,0.43317378870980583,1074.1466448138804,120.99946846552864
two_step,100,900,85,10,910,16,0.5265259651014563,0.6016982018298775,-1.456237223698297,0.9845208174764302,0.595690131831418,-1.7571630112803318,0.5868940328883727,0.4547562213021616,490.523399545997,48.016459104885534,0.45395930544236807,1080.0497173027782,128.22842794145936
single_step,85,300,,,300,17,0.5263089291044696,0.5937286777985258,-1.3042381557882914,0.9672356108530726,0.5927836279217358,-1.612902866089871,0.5830988789385995,0.4599280885267301,492.8881683912605,48.69784893418087,0.4587953221708869,1086.195392946164,129.93199412112952
two_step,95,900,85,10,910,18,0.5261446405052971,0.5943638253769551,-1.3650382541601822,0.9686081446772471,0.591672783979568,-1.6875411808864258,0.5816513106831378,0.4596663678405684,487.76970777289966,48.663282699659796,0.458875584824097,1072.5916580571852,129.9603375155552
single_step,85,600,,,600,19,0.525369080643254,0.5802649178650864,-1.2416923344271629,0.938345014763139,0.5787304861537179,-1.5764635344717686,0.5649038565545366,0.47165550580327,484.271698548058,50.25604569011058,0.470825412750942,1063.107377137725,134.20570104837066
two_step,100,1200,90,10,1210,20,0.5250936087777384,0.6219488611795618,-1.6635243712794396,1.0290675203685382,0.6173448365476377,-1.8476220355812791,0.6155194934942239,0.4312772476818015,490.0999424892476,44.967051857446066,0.42980348970195265,1078.996612387567,119.8414101859084
single_step,90,300,,,300,21,0.5248775629581912,0.6248977659399757,-1.5838524514416832,1.0356299944582674,0.6248241193153076,-1.7800580170100608,0.625551298041637,0.42581920613453283,496.830716072657,44.268368934905666,0.42396916044294897,1096.9201595735894,117.84589715106549
two_step,100,1200,80,10,1210,22,0.5246018540917536,0.5749365998273922,-1.2670189266054257,0.9270184850637178,0.5757983759884308,-1.6290932755902887,0.5611396995336061,0.47404726600278974,481.611142089914,50.57608336573145,0.47362517454840203,1056.0677686623949,135.20771716591565
two_step,95,1800,95,10,1810,23,0.5231849255744854,0.6234546041807235,-1.7255318644599835,1.0324159734150709,0.620110800241319,-1.8773606606579494,0.6192206821845814,0.42538750208643883,488.52740722433583,44.213269146089964,0.42378679578946027,1074.8177089013927,117.78371049903808
two_step,100,900,90,10,910,24,0.5230328362293012,0.6153107398724635,-1.6127589525482204,1.014365707738421,0.6056278683249915,-1.8415077656893748,0.5999538377771498,0.4361998296657146,491.0734804316187,45.6004696698224,0.4349929070540351,1081.6020190371662,121.62615398353971
two_step,80,1800,95,10,1810,25,0.523027238755086,0.5892926675003446,-1.3160062224205367,0.9576738007201699,0.5864257088742786,-1.6493079930284162,0.5748354116005475,0.4585722789069214,481.7997734679546,48.51888101586459,0.4578182997387994,1056.5629042876244,129.58715755304362
two_step,95,900,90,10,910,26,0.5227020351092324,0.6133625550594756,-1.5333009297525941,1.0100694469961973,0.60537351726114,-1.7903357310765695,0.5996179581172666,0.43665371379147433,491.0227052156942,45.65903078765168,0.43541835432483994,1081.3937262227792,121.77288495472878
two_step,85,1800,100,10,1810,27,0.5225871350194427,0.6216203816408067,-1.6479221411176321,1.028337721228958,0.6148332147637774,-1.8431608383210052,0.6121675016371498,0.4276867449351061,488.93352386318304,44.50700318759273,0.4262081987380804,1075.858663444326,118.61033806488219
two_step,90,1200,95,10,1210,28,0.5225208431916494,0.6210635269604086,-1.6083751764642984,1.0271010773424103,0.6145047954614543,-1.8195319724527022,0.6117298177400768,0.42801371861211507,490.22373427499286,44.54882977281041,0.42650133173261956,1079.279474390424,118.71054479042115
two_step,85,1800,90,10,1810,29,0.522421451650221,0.5788103630035324,-1.248175733108158,0.9352470424177498,0.577354938541902,-1.5905747053345891,0.5631365944816807,0.467073847922889,477.23107541810856,49.64511471181189,0.4664466571325607,1044.2887719647983,132.64418755516124
two_step,100,900,80,10,910,30,0.5221139861104019,0.5652455299138855,-1.2703666476622122,0.9065720205711763,0.5668438328964305,-1.6680466377435725,0.549712205052224,0.47827677117610384,485.9666804733739,51.143903833427785,0.4780898104551879,1067.780689111993,136.81139576805037
