summary_type,group,n,delta_h_total_J_g_mae,peak_area_J_g_mae,recovery_index_mae,path_dependence_index_mae
split,test,6,0.09695916776620407,0.055051350838837755,0.1552537144663893,0.08313409940265708
split,train,99,0.10157765341220319,0.06019972132444607,0.09013623495010749,0.05325605712531382
mode,single_step,48,0.13111823162165712,0.0847063686065449,0.09982528142576746,0.028194533365198574
mode,two_step,57,0.07621522064150521,0.039020610930509333,0.08883150944600245,0.0775055552682891
T1_bin,50-60 C,31,0.10847269680973219,0.07283106645979293,0.09585689842628159,0.03850026216047388
T1_bin,65-75 C,26,0.1302301379156098,0.08027305760123575,0.10831081002776498,0.037373788302394344
T1_bin,80-90 C,43,0.07492077747816679,0.0355398584819014,0.08085655512084251,0.07922074552535065
T1_bin,95-100 C,5,0.13354241518732252,0.08340080870914361,0.11810655294522612,0.03988711427899759
t1_bin,10-100 s,63,0.10511478351785031,0.0628208837306257,0.10161247872082554,0.0550109517045294
t1_bin,100-600 s,37,0.08698552820390647,0.047471282876750016,0.07633434628573428,0.06034112620180486
t1_bin,>600 s,5,0.1594493578472458,0.11518547493680376,0.12581051497495999,0.014568524993975356
